,Platform,Year,Genre,Publisher,Global_Sales,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC,langue_parlée_JVC,texte_JVC,freq_name
4352,PS3,2012,Racing,Activision,0.08,76.0,4.0,4.8,17.0,11.0,13.0,14.9,3.0,PlayStation Store,français,français,2.0
4353,GC,2002,Misc,Take-Two Interactive,0.08,79.0,23.0,7.2,13.0,14.0,3.0,18.3,12.0,Autre,anglais,français,2.0
4354,PS,1999,Role-Playing,Sony Computer Entertainment,0.08,80.0,14.0,8.7,52.0,19.0,123.0,18.1,3.0,Autre,français,français,2.0
4355,PS2,2001,Role-Playing,Ubisoft,0.08,43.0,14.0,6.3,9.0,11.0,0.0,15.0,3.0,CD,français,français,2.0
4356,GC,2003,Racing,Empire Interactive,0.08,63.0,5.0,8.2,6.0,14.0,3.0,16.3,3.0,Autre,anglais,français,4.0
4357,PC,2015,Action,Bethesda Softworks,0.08,76.0,30.0,8.0,743.0,15.0,25.0,16.0,18.0,Autre,français,français,3.0
4358,DS,2008,Racing,Focus Home Interactive,0.08,75.0,38.0,7.2,16.0,15.0,125.0,13.7,3.0,Cartouche,français,français,3.0
4359,X360,2011,Action,Namco Bandai Games,0.08,49.0,41.0,6.0,22.0,9.0,30.0,13.5,18.0,Blu-Ray DVD,anglais,français,1.0
4360,PC,2008,Action,Eidos Interactive,0.08,80.0,20.0,7.8,362.0,15.0,127.0,16.3,16.0,Blu-Ray,français,français,2.0
4361,PS2,2004,Action,505 Games,0.08,58.0,34.0,7.7,7.0,12.0,9.0,14.0,12.0,DVD,anglais,français,3.0
4362,PC,2011,Strategy,THQ,0.08,80.0,52.0,7.7,280.0,16.0,112.0,15.7,16.0,DVD,français,français,1.0
4363,DS,2008,Puzzle,Deep Silver,0.08,59.0,23.0,5.6,5.0,11.0,0.0,15.0,3.0,Autre,français,français,4.0
4364,X360,2006,Action,D3Publisher,0.08,69.0,55.0,7.6,66.0,14.0,21.0,13.7,12.0,PlayStation Store,français,français,3.0
4365,X360,2014,Fighting,Atlus,0.08,85.0,15.0,4.3,218.0,11.0,3.0,14.7,12.0,Blu-Ray DVD,français,français,3.0
4366,XB,2003,Sports,3DO,0.08,83.0,17.0,8.2,13.0,11.0,0.0,15.0,3.0,Autre,français,français,3.0
4367,GC,2005,Shooter,Electronic Arts,0.08,82.0,32.0,8.6,57.0,15.0,151.0,18.7,18.0,Autre,français,français,3.0
4368,DS,2008,Puzzle,Eidos Interactive,0.08,78.0,33.0,8.0,23.0,15.0,62.0,17.4,12.0,Cartouche,français,français,4.0
4369,PS2,2000,Shooter,Konami Digital Entertainment,0.08,64.0,15.0,8.0,7.0,10.0,9.0,12.4,3.0,CD,français,anglais,1.0
4370,PS,1999,Action,Titus,0.08,80.0,11.0,7.9,17.0,12.0,15.0,16.1,3.0,CD,français,français,4.0
4371,X360,2007,Action,Disney Interactive Studios,0.08,65.0,21.0,6.3,6.0,11.0,4.0,15.3,7.0,Autre,français,français,4.0
4372,PSP,2012,Adventure,Acquire,0.08,53.0,15.0,6.6,9.0,11.0,0.0,15.0,3.0,UMD,français,français,3.0
4373,X360,2014,Fighting,Namco Bandai Games,0.08,53.0,17.0,5.2,56.0,10.0,71.0,14.1,12.0,Autre,japonais,français,1.0
4374,PC,2005,Simulation,Ubisoft,0.08,90.0,23.0,7.8,112.0,16.0,48.0,17.4,7.0,DVD,anglais,anglais,1.0
4375,PC,2011,Shooter,Mastertronic,0.08,72.0,53.0,8.0,754.0,11.0,1.0,4.0,3.0,Autre,français,français,3.0
4376,PS4,2016,Racing,Milestone S.r.l.,0.08,65.0,16.0,6.6,25.0,14.0,27.0,13.2,3.0,Autre,français,français,2.0
4377,PS3,2014,Role-Playing,Nippon Ichi Software,0.08,71.0,18.0,7.2,33.0,13.0,6.0,14.8,3.0,Autre,anglais,anglais,3.0
4378,PS2,2001,Shooter,Swing! Entertainment,0.08,39.0,4.0,5.2,5.0,10.0,3.0,9.3,3.0,Autre,français,français,4.0
4379,X360,2007,Misc,Activision,0.08,74.0,10.0,6.7,7.0,11.0,8.0,15.8,12.0,Autre,anglais,anglais,1.0
4380,GC,2003,Action,Atari,0.08,66.0,7.0,6.0,13.0,10.0,4.0,14.5,3.0,Autre,français,français,2.0
4381,PSP,2009,Simulation,From Software,0.08,43.0,6.0,6.7,6.0,11.0,1.0,11.0,3.0,UMD,français,français,3.0
4382,Wii,2011,Action,Ackkstudios,0.08,55.0,26.0,7.6,27.0,11.0,0.0,15.0,3.0,DVD,français,français,4.0
