,Platform,Year,Genre,Publisher,Global_Sales,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC,langue_parlée_JVC,texte_JVC,freq_name
881,XOne,2015,Adventure,Square Enix,1.3,86.0,102.0,8.0,1558.0,18.0,165.0,16.9,18.0,Autre,français,français,2.0
882,Wii,2006,Racing,Electronic Arts,1.29,67.0,21.0,7.8,37.0,13.0,84.0,16.2,12.0,DVD,français,français,2.0
883,WiiU,2015,Platform,Nintendo,1.29,78.0,83.0,8.4,477.0,14.0,68.0,16.4,3.0,Autre,français,français,1.0
884,GBA,2002,Role-Playing,Capcom,1.29,77.0,16.0,8.7,106.0,16.0,3.0,18.0,3.0,Cartouche,français,anglais,2.0
885,GC,2002,Action,Capcom,1.29,83.0,36.0,8.7,254.0,15.0,168.0,17.2,18.0,Autre,anglais,français,3.0
886,X360,2005,Racing,Electronic Arts,1.29,83.0,54.0,8.6,201.0,15.0,34.0,15.8,7.0,Autre,français,français,2.0
887,XOne,2015,Shooter,Ubisoft,1.29,74.0,24.0,7.0,420.0,11.0,2.0,9.5,3.0,Autre,français,français,2.0
888,PS2,2004,Shooter,Atari,1.29,75.0,51.0,8.4,40.0,14.0,41.0,16.0,7.0,DVD,français,français,4.0
889,Wii,2008,Misc,Activision,1.29,73.0,16.0,6.8,22.0,15.0,14.0,16.6,12.0,DVD,français,français,3.0
890,PS3,2008,Role-Playing,Sega,1.29,86.0,60.0,8.7,503.0,18.0,154.0,17.7,16.0,Blu-Ray,anglais,anglais,3.0
891,PS2,2004,Role-Playing,Sony Online Entertainment,1.28,85.0,51.0,8.2,88.0,17.0,65.0,17.5,12.0,DVD,français,français,4.0
892,PS4,2014,Action,Konami Digital Entertainment,1.28,75.0,70.0,6.4,1530.0,11.0,8.0,17.0,18.0,Autre,français,français,3.0
893,XOne,2015,Action,Ubisoft,1.28,78.0,22.0,6.7,660.0,13.0,88.0,16.8,18.0,Blu-Ray,français,français,3.0
894,X360,2012,Action,THQ,1.28,78.0,46.0,8.0,130.0,17.0,136.0,16.6,16.0,Blu-Ray DVD,anglais,français,3.0
895,PS2,2003,Action,Take-Two Interactive,1.28,76.0,47.0,8.5,214.0,13.0,113.0,15.9,18.0,CD,anglais,anglais,3.0
896,PS2,2001,Action,Konami Digital Entertainment,1.28,89.0,34.0,8.4,1633.0,18.0,275.0,18.4,16.0,DVD,français,français,4.0
897,PS3,2008,Action,Eidos Interactive,1.27,75.0,42.0,7.2,210.0,15.0,127.0,16.3,16.0,Blu-Ray,français,français,2.0
898,PS,1997,Platform,Konami Digital Entertainment,1.27,93.0,12.0,9.0,851.0,14.0,7.0,15.6,3.0,Autre,français,français,3.0
899,PC,2005,Simulation,Electronic Arts,1.27,76.0,31.0,6.8,78.0,15.0,78.0,16.9,12.0,CD,français,français,3.0
900,PS2,2008,Action,Warner Bros. Interactive Entertainment,1.27,77.0,8.0,8.5,44.0,13.0,10.0,15.3,7.0,Autre,français,français,2.0
901,3DS,2012,Role-Playing,Nintendo,1.27,59.0,46.0,6.3,187.0,14.0,190.0,13.5,3.0,Cartouche,français,français,3.0
902,2600,1981,Shooter,Imagic,1.27,73.0,7.0,8.0,22.0,11.0,1.0,14.0,3.0,Autre,français,français,3.0
903,X360,2008,Sports,Take-Two Interactive,1.27,84.0,32.0,7.1,46.0,18.0,63.0,18.2,3.0,DVD Blu-Ray,anglais,français,1.0
904,X360,2011,Fighting,THQ,1.27,71.0,52.0,6.4,106.0,17.0,178.0,17.0,16.0,Autre,anglais,français,3.0
905,XB,2003,Sports,Activision,1.27,90.0,38.0,8.6,176.0,17.0,16.0,17.9,16.0,Autre,anglais,français,3.0
906,XOne,2015,Role-Playing,Bethesda Softworks,1.27,77.0,11.0,8.3,637.0,11.0,0.0,15.0,3.0,Autre,français,français,4.0
907,Wii,2008,Sports,Deep Silver,1.27,30.0,4.0,2.0,23.0,11.0,2.0,7.5,3.0,DVD,français,français,3.0
908,PS2,2002,Role-Playing,Atari,1.27,75.0,35.0,8.3,71.0,15.0,50.0,15.2,12.0,DVD,français,français,4.0
909,GC,2003,Platform,Sega,1.27,57.0,27.0,7.9,324.0,11.0,82.0,16.3,3.0,CD,français,français,2.0
910,PS2,2004,Action,Sony Computer Entertainment,1.27,68.0,50.0,8.7,63.0,12.0,30.0,16.6,16.0,DVD,français,français,3.0
911,PS,1994,Fighting,Sony Computer Entertainment,1.27,69.0,4.0,8.7,42.0,11.0,5.0,16.4,3.0,Autre,français,anglais,2.0
912,DS,2008,Action,Activision,1.26,71.0,10.0,5.6,7.0,13.0,1.0,15.0,7.0,Autre,français,français,1.0
913,PC,2010,Sports,Sega,1.26,85.0,23.0,8.3,96.0,18.0,168.0,17.3,3.0,DVD,français,français,3.0
914,DS,2007,Simulation,Square Enix,1.26,85.0,52.0,8.4,322.0,17.0,270.0,17.0,12.0,Cartouche,français,français,2.0
915,WiiU,2014,Action,Nintendo,1.26,76.0,81.0,8.3,729.0,15.0,222.0,16.5,12.0,Autre,français,français,1.0
916,PS3,2006,Racing,Electronic Arts,1.26,75.0,31.0,7.5,74.0,16.0,87.0,15.8,12.0,Blu-Ray,français,français,2.0
917,PC,2003,Sports,Eidos Interactive,1.26,68.0,9.0,6.8,10.0,16.0,36.0,17.1,3.0,CD,français,français,3.0
918,PS,1998,Sports,Codemasters,1.26,71.0,7.0,8.4,10.0,11.0,0.0,15.0,3.0,Autre,français,français,4.0
919,DS,2007,Action,THQ,1.26,64.0,10.0,7.3,6.0,10.0,19.0,14.6,3.0,Cartouche,français,français,4.0
920,X360,2012,Action,Warner Bros. Interactive Entertainment,1.26,80.0,49.0,8.3,96.0,16.0,85.0,17.5,7.0,Autre,français,français,2.0
921,Wii,2007,Sports,RTL,1.26,52.0,15.0,6.8,4.0,11.0,1.0,3.0,3.0,DVD,français,français,2.0
922,PS,2000,Sports,Electronic Arts,1.25,86.0,10.0,7.0,11.0,16.0,36.0,17.1,3.0,CD,français,français,1.0
923,PS2,2008,Action,LucasArts,1.25,68.0,7.0,7.4,60.0,11.0,14.0,16.1,16.0,Autre,français,français,1.0
924,PS3,2007,Shooter,Ubisoft,1.25,86.0,32.0,7.6,93.0,16.0,171.0,16.6,16.0,Blu-Ray,français,français,2.0
925,NES,1988,Role-Playing,Namco Bandai Games,1.25,62.0,4.0,1.5,4.0,11.0,4.0,9.3,3.0,Cartouche,français,français,1.0
926,PS3,2013,Fighting,Warner Bros. Interactive Entertainment,1.25,78.0,37.0,8.0,340.0,16.0,214.0,16.4,16.0,Autre,français,français,3.0
927,GC,2005,Role-Playing,Nintendo,1.25,64.0,27.0,8.2,164.0,11.0,184.0,16.2,3.0,Autre,français,français,2.0
928,PS2,2006,Shooter,Electronic Arts,1.25,79.0,62.0,8.5,314.0,13.0,235.0,15.9,16.0,Autre,français,français,3.0
929,PC,2002,Strategy,Atari,1.25,74.0,22.0,8.7,170.0,13.0,126.0,16.1,3.0,Autre,français,français,4.0
930,PS2,2003,Action,Eidos Interactive,1.25,52.0,37.0,6.4,148.0,14.0,154.0,14.5,12.0,DVD,français,français,2.0
931,PS2,2004,Action,Ubisoft,1.25,87.0,45.0,8.2,54.0,12.0,34.0,16.1,18.0,Blu-Ray,français,français,2.0
932,PS2,2005,Shooter,Sony Computer Entertainment,1.24,81.0,51.0,8.8,247.0,11.0,9.0,15.2,3.0,Autre,français,français,2.0
933,PS2,2001,Role-Playing,Virgin Interactive,1.24,87.0,29.0,8.5,135.0,16.0,74.0,17.5,12.0,DVD,français,français,3.0
934,PS3,2011,Role-Playing,Namco Bandai Games,1.24,78.0,65.0,8.5,505.0,15.0,209.0,16.9,16.0,Blu-Ray,anglais,français,2.0
935,DS,2007,Racing,Nintendo,1.24,63.0,39.0,7.0,40.0,12.0,80.0,13.6,3.0,Autre,français,français,1.0
936,PS3,2009,Action,Activision,1.24,79.0,53.0,7.6,380.0,11.0,1.0,16.0,3.0,Autre,français,français,2.0
937,PS,1997,Platform,GT Interactive,1.24,85.0,10.0,8.8,182.0,16.0,4.0,15.3,3.0,Autre,français,français,3.0
938,XOne,2015,Role-Playing,Namco Bandai Games,1.24,91.0,13.0,9.1,5587.0,19.0,136.0,18.9,18.0,Autre,français,français,4.0
939,PS2,2000,Action,Namco Bandai Games,1.24,78.0,20.0,7.5,12.0,15.0,55.0,13.2,3.0,CD,français,français,3.0
940,PS2,2008,Fighting,THQ,1.24,78.0,9.0,7.4,52.0,15.0,128.0,15.8,16.0,DVD,anglais,français,1.0
941,XB,2005,Action,Activision,1.24,61.0,44.0,8.0,66.0,13.0,54.0,16.1,3.0,Autre,français,français,1.0
942,Wii,2007,Action,D3Publisher,1.23,63.0,6.0,7.5,13.0,9.0,10.0,13.6,7.0,DVD,anglais,français,2.0
943,PS3,2010,Sports,Electronic Arts,1.23,82.0,56.0,7.6,74.0,16.0,284.0,16.1,3.0,Blu-Ray,français,français,1.0
944,XB,2004,Action,Microsoft Game Studios,1.23,91.0,89.0,8.8,193.0,15.0,100.0,17.9,16.0,DVD,français,français,2.0
945,XB,2002,Platform,Universal Interactive,1.23,70.0,16.0,7.6,53.0,14.0,7.0,16.7,3.0,Autre,français,français,3.0
946,PS2,2004,Racing,Atari,1.23,57.0,51.0,5.8,126.0,13.0,184.0,14.7,16.0,DVD,français,français,4.0
947,PC,2014,Simulation,Focus Home Interactive,1.23,64.0,18.0,7.3,99.0,14.0,57.0,14.8,3.0,Autre,français,français,3.0
948,X360,2008,Misc,Activision,1.23,70.0,59.0,6.6,54.0,15.0,2.0,17.5,12.0,DVD Blu-Ray,français,français,3.0
949,PS3,2007,Shooter,Electronic Arts,1.23,75.0,16.0,7.6,57.0,13.0,82.0,13.8,16.0,Blu-Ray,français,français,3.0
950,PS,1998,Racing,Activision,1.23,58.0,15.0,8.2,17.0,18.0,21.0,18.0,3.0,Autre,français,français,3.0
951,NES,1986,Platform,Konami Digital Entertainment,1.23,74.0,10.0,8.7,28.0,16.0,112.0,17.1,7.0,Autre,français,anglais,4.0
952,GBA,2004,Platform,Nintendo,1.23,80.0,22.0,8.6,66.0,17.0,48.0,17.4,3.0,Cartouche,français,français,1.0
953,PSP,2005,Shooter,LucasArts,1.23,69.0,22.0,8.5,133.0,16.0,103.0,14.4,3.0,Autre,français,français,1.0
954,PS4,2016,Sports,Electronic Arts,1.23,82.0,35.0,4.1,161.0,17.0,7.0,14.9,3.0,Autre,français,français,2.0
955,Wii,2008,Puzzle,Electronic Arts,1.23,85.0,61.0,7.9,124.0,16.0,80.0,16.6,3.0,DVD,français,français,4.0
956,Wii,2007,Simulation,Electronic Arts,1.23,73.0,19.0,7.8,11.0,14.0,30.0,14.6,12.0,DVD,français,français,3.0
957,PS3,2012,Action,Warner Bros. Interactive Entertainment,1.22,81.0,28.0,7.1,505.0,11.0,1.0,15.0,9.0,Autre,français,français,2.0
958,GC,2004,Sports,Nintendo,1.22,80.0,43.0,8.5,75.0,17.0,76.0,18.0,3.0,Autre,français,français,3.0
959,NES,1984,Puzzle,Namco Bandai Games,1.22,53.0,13.0,8.6,5.0,15.0,4.0,19.3,3.0,Autre,anglais,anglais,3.0
960,PS3,2011,Racing,Codemasters,1.22,82.0,36.0,7.2,59.0,16.0,173.0,16.2,3.0,Autre,français,français,3.0
961,PSP,2006,Racing,THQ,1.22,70.0,17.0,7.6,10.0,9.0,9.0,14.4,3.0,UMD,français,français,4.0
962,PS,1997,Role-Playing,SquareSoft,1.22,69.0,9.0,6.9,26.0,11.0,0.0,15.0,3.0,CD,français,français,3.0
963,GBA,2002,Role-Playing,Nintendo,1.22,86.0,29.0,8.9,217.0,18.0,253.0,19.2,3.0,Cartouche,français,français,3.0
964,PS2,2002,Sports,Sega,1.22,89.0,19.0,7.9,15.0,11.0,1.0,18.0,3.0,CD,français,français,1.0
965,PS2,2006,Racing,THQ,1.21,71.0,30.0,8.6,42.0,12.0,27.0,14.5,3.0,DVD,français,français,4.0
966,PS2,2006,Racing,THQ,1.21,71.0,30.0,8.6,42.0,12.0,27.0,14.5,3.0,DVD,français,français,4.0
967,XB,2001,Misc,Microsoft Game Studios,1.21,70.0,28.0,7.0,26.0,9.0,22.0,13.9,3.0,Autre,français,français,3.0
968,XB,2004,Shooter,Activision,1.21,73.0,55.0,7.4,33.0,13.0,115.0,15.1,16.0,Autre,français,français,3.0
969,DS,2009,Action,Activision,1.21,59.0,4.0,5.8,8.0,9.0,14.0,11.6,7.0,Cartouche,français,français,2.0
970,PS,2001,Role-Playing,Enix Corporation,1.21,80.0,44.0,8.1,71.0,17.0,174.0,16.5,12.0,Autre,français,français,1.0
971,PS,1999,Action,LucasArts,1.21,76.0,14.0,8.1,28.0,9.0,10.0,10.2,3.0,Autre,français,français,1.0
972,PS,2000,Action,Virgin Interactive,1.21,86.0,13.0,9.4,560.0,15.0,152.0,17.2,12.0,Autre,anglais,anglais,4.0
973,GC,2003,Racing,Electronic Arts,1.21,83.0,24.0,8.2,68.0,14.0,100.0,17.2,3.0,Autre,français,français,2.0
974,PS2,2002,Action,Black Label Games,1.2,59.0,19.0,4.8,38.0,13.0,47.0,13.0,12.0,DVD,français,français,3.0
975,PS3,2011,Action,LucasArts,1.2,76.0,36.0,7.5,55.0,13.0,75.0,16.0,7.0,Blu-Ray,français,français,1.0
976,PS2,2004,Racing,SouthPeak Games,1.2,78.0,37.0,8.0,21.0,13.0,12.0,15.3,3.0,Autre,français,français,3.0
977,GC,2004,Strategy,Nintendo,1.2,90.0,54.0,9.0,224.0,15.0,122.0,18.1,3.0,Autre,français,français,4.0
978,PS4,2015,Sports,Take-Two Interactive,1.2,73.0,47.0,7.2,273.0,15.0,28.0,16.2,3.0,Autre,français,français,1.0
979,SNES,1993,Fighting,Namco Bandai Games,1.2,72.0,31.0,6.6,35.0,16.0,59.0,16.5,3.0,Autre,français,français,1.0
980,XB,2003,Action,Atari,1.2,65.0,33.0,7.2,73.0,12.0,38.0,14.6,16.0,Autre,français,français,4.0
981,PS2,2001,Sports,Electronic Arts,1.2,92.0,22.0,8.0,28.0,17.0,25.0,17.6,3.0,CD,anglais,français,2.0
982,DS,2006,Puzzle,Nintendo,1.2,76.0,32.0,7.8,25.0,11.0,29.0,17.8,3.0,Autre,français,français,1.0
983,Wii,2009,Adventure,Nintendo,1.2,62.0,22.0,7.6,78.0,13.0,179.0,15.5,3.0,DVD,français,français,3.0
984,PS3,2012,Action,Namco Bandai Games,1.2,64.0,33.0,7.4,67.0,12.0,12.0,15.8,12.0,Autre,japonais,français,1.0
985,PS3,2013,Sports,Take-Two Interactive,1.19,74.0,22.0,7.6,152.0,17.0,127.0,15.7,16.0,Blu-Ray,français,français,1.0
986,PSP,2006,Action,Konami Digital Entertainment,1.19,87.0,54.0,8.0,210.0,10.0,39.0,13.5,16.0,UMD,anglais,français,3.0
987,PSP,2007,Fighting,THQ,1.19,68.0,11.0,8.0,22.0,13.0,34.0,15.9,16.0,UMD,français,français,1.0
988,GBA,2003,Racing,THQ,1.19,55.0,14.0,7.2,11.0,13.0,12.0,16.1,3.0,Cartouche,français,français,4.0
989,Wii,2008,Sports,Konami Digital Entertainment,1.19,83.0,19.0,8.0,47.0,12.0,123.0,14.8,3.0,DVD,français,français,2.0
990,PS2,2006,Action,Vivendi Games,1.19,75.0,46.0,8.7,162.0,8.0,25.0,5.6,18.0,UMD,français,français,1.0
991,XOne,2013,Sports,Electronic Arts,1.19,88.0,22.0,5.8,360.0,17.0,13.0,15.3,3.0,Autre,français,français,3.0
992,GC,2002,Action,Activision,1.19,76.0,14.0,7.4,18.0,15.0,244.0,16.5,7.0,Autre,français,français,3.0
993,PS4,2016,Sports,Take-Two Interactive,1.19,88.0,47.0,6.3,317.0,17.0,28.0,15.1,3.0,Autre,anglais,français,1.0
994,3DS,2015,Role-Playing,Nintendo,1.19,69.0,44.0,8.2,336.0,11.0,0.0,15.0,3.0,Autre,français,français,2.0
995,X360,2012,Misc,Ubisoft,1.19,77.0,23.0,7.8,37.0,16.0,104.0,17.5,3.0,Autre,français,français,3.0
996,PS,1999,Adventure,Konami Digital Entertainment,1.18,94.0,20.0,8.4,2124.0,16.0,52.0,17.4,3.0,Autre,français,français,3.0
997,GB,2000,Sports,Nintendo,1.18,81.0,21.0,8.5,40.0,17.0,41.0,17.5,3.0,Cartouche,français,français,3.0
998,GBA,2001,Sports,Activision,1.18,95.0,16.0,6.9,44.0,15.0,65.0,16.2,3.0,Autre,français,français,2.0
999,PS3,2009,Fighting,THQ,1.18,81.0,38.0,8.1,72.0,17.0,276.0,16.7,16.0,Blu-Ray,anglais,français,1.0
1000,DS,2011,Strategy,Mastertronic,1.18,81.0,23.0,8.4,50.0,11.0,0.0,15.0,3.0,Autre,français,français,1.0
1001,PS3,2006,Platform,Sega,1.18,43.0,17.0,4.6,329.0,9.0,119.0,12.8,12.0,Blu-Ray,français,français,3.0
1002,SNES,1991,Platform,Capcom,1.18,78.0,19.0,8.3,16.0,12.0,4.0,15.3,12.0,DVD,anglais,anglais,2.0
1003,X360,2011,Sports,Ubisoft,1.17,77.0,13.0,7.5,20.0,16.0,15.0,16.4,3.0,Autre,français,français,3.0
1004,PS3,2008,Shooter,Electronic Arts,1.17,74.0,43.0,7.3,137.0,12.0,125.0,14.6,18.0,Blu-Ray,français,français,3.0
1005,PS2,2005,Shooter,Activision,1.17,77.0,43.0,8.7,111.0,11.0,128.0,16.3,18.0,DVD,anglais,français,4.0
1006,Wii,2008,Platform,Nintendo,1.17,78.0,46.0,8.5,73.0,14.0,71.0,16.0,3.0,DVD,français,français,2.0
1007,DS,2007,Platform,Sega,1.17,78.0,32.0,8.1,109.0,16.0,127.0,16.9,12.0,Cartouche,français,français,3.0
1008,NES,1990,Platform,Capcom,1.17,85.0,7.0,8.6,92.0,18.0,1.0,19.0,3.0,Autre,français,français,3.0
1009,SNES,1993,Role-Playing,SquareSoft,1.17,70.0,13.0,8.1,52.0,11.0,0.0,15.0,3.0,Cartouche,japonais,japonais,4.0
1010,PS2,2003,Sports,Zoo Digital Publishing,1.17,57.0,4.0,8.3,40.0,14.0,2.0,15.5,3.0,Autre,français,français,4.0
1011,PS,1996,Racing,Sony Computer Entertainment,1.17,88.0,58.0,8.2,79.0,11.0,11.0,16.9,3.0,CD,français,français,4.0
1012,XB,2003,Shooter,Electronic Arts,1.17,65.0,23.0,5.9,31.0,12.0,170.0,14.2,12.0,Autre,français,français,3.0
1013,PC,2012,Sports,Sega,1.17,86.0,37.0,6.9,268.0,18.0,155.0,13.2,3.0,DVD,français,français,3.0
1014,GBA,2004,Puzzle,Nintendo,1.17,81.0,43.0,8.2,49.0,17.0,49.0,17.0,3.0,Cartouche,français,français,1.0
1015,PS3,2008,Action,Activision,1.16,65.0,42.0,6.7,64.0,12.0,156.0,13.6,16.0,Blu-Ray,français,français,4.0
1016,PSV,2012,Racing,Electronic Arts,1.16,79.0,21.0,7.6,240.0,15.0,34.0,15.8,7.0,Autre,français,français,2.0
1017,PSP,2007,Role-Playing,Square Enix,1.16,88.0,41.0,9.0,447.0,17.0,105.0,16.3,12.0,UMD,anglais,anglais,2.0
1018,PS2,2006,Racing,Take-Two Interactive,1.16,85.0,19.0,8.9,119.0,11.0,16.0,18.7,12.0,CD,français,français,3.0
1019,PS2,2004,Shooter,Ubisoft,1.16,70.0,31.0,6.0,25.0,11.0,17.0,12.8,16.0,DVD,français,français,2.0
1020,PS3,2007,Misc,Sony Computer Entertainment,1.16,82.0,48.0,6.1,16.0,16.0,25.0,15.4,12.0,Blu-Ray,français,français,1.0
1021,PS,1997,Fighting,Sony Computer Entertainment,1.16,83.0,13.0,8.2,35.0,16.0,23.0,13.9,16.0,CD,français,français,4.0
1022,DS,2011,Action,LucasArts,1.16,66.0,8.0,5.8,6.0,11.0,16.0,14.3,7.0,Cartouche,français,français,1.0
1023,PS2,2001,Racing,Electronic Arts,1.16,85.0,17.0,8.5,22.0,11.0,1.0,0.0,3.0,CD,français,français,3.0
1024,N64,1999,Shooter,Nintendo,1.16,80.0,14.0,8.8,95.0,17.0,89.0,17.2,3.0,Cartouche,anglais,français,3.0
1025,SNES,1993,Platform,Capcom,1.16,55.0,10.0,8.3,55.0,14.0,26.0,12.0,3.0,Autre,français,français,2.0
1026,PSP,2007,Shooter,Electronic Arts,1.16,69.0,20.0,7.3,43.0,13.0,155.0,15.3,16.0,UMD,français,français,2.0
1027,X360,2010,Shooter,City Interactive,1.16,45.0,39.0,5.7,97.0,16.0,2.0,16.5,18.0,Autre,anglais,français,2.0
1028,PS3,2011,Misc,Ubisoft,1.16,80.0,27.0,7.5,60.0,15.0,43.0,17.5,16.0,Blu-Ray,français,français,3.0
1029,XB,2005,Action,Eidos Interactive,1.16,76.0,43.0,5.2,46.0,10.0,37.0,16.5,3.0,Autre,français,français,1.0
1030,X360,2014,Shooter,Electronic Arts,1.16,69.0,6.0,7.4,131.0,15.0,5.0,15.2,3.0,Autre,français,français,1.0
1031,PS3,2011,Simulation,Konami Digital Entertainment,1.15,54.0,41.0,4.9,220.0,11.0,3.0,10.0,16.0,Autre,français,français,3.0
1032,PS2,2001,Action,Midway Games,1.15,73.0,15.0,8.2,34.0,11.0,21.0,13.4,12.0,CD,français,français,3.0
1033,PS3,2007,Action,Eidos Interactive,1.15,88.0,46.0,7.6,225.0,15.0,100.0,17.1,18.0,Blu-Ray,anglais,français,2.0
1034,Wii,2009,Platform,Sega,1.15,54.0,51.0,7.1,312.0,10.0,170.0,13.1,12.0,DVD,anglais,français,1.0
1035,PC,2007,Shooter,Activision,1.15,92.0,40.0,8.5,3818.0,16.0,68.0,7.7,3.0,Autre,français,français,2.0
1036,NES,1986,Action,Hudson Soft,1.15,75.0,24.0,7.6,42.0,11.0,0.0,15.0,3.0,Cartouche,français,français,4.0
1037,DS,2008,Misc,Disney Interactive Studios,1.15,38.0,5.0,2.7,7.0,6.0,15.0,12.9,3.0,Cartouche,français,français,4.0
1038,GC,2003,Misc,Nintendo,1.15,76.0,55.0,7.9,34.0,15.0,64.0,16.0,3.0,Autre,français,français,1.0
1039,PS3,2011,Fighting,Electronic Arts,1.15,84.0,52.0,7.3,119.0,17.0,130.0,16.9,16.0,Blu-Ray,anglais,français,3.0
1040,PS2,2003,Platform,THQ,1.15,68.0,28.0,8.6,34.0,13.0,6.0,14.8,3.0,Autre,français,français,3.0
1041,3DS,2011,Action,Nintendo,1.14,56.0,36.0,6.8,74.0,13.0,159.0,15.2,7.0,Cartouche,français,français,4.0
1042,PS2,2003,Action,Activision,1.14,79.0,33.0,8.6,71.0,16.0,67.0,16.3,16.0,DVD,français,français,4.0
1043,PS,1998,Role-Playing,SquareSoft,1.14,81.0,12.0,8.6,37.0,16.0,4.0,18.5,3.0,CD,français,français,3.0
1044,PS3,2007,Sports,Sony Computer Entertainment,1.14,81.0,66.0,7.3,42.0,15.0,22.0,16.6,3.0,Blu-Ray,français,français,3.0
1045,PS2,2005,Simulation,Konami Digital Entertainment,1.14,76.0,27.0,8.8,24.0,11.0,0.0,15.0,3.0,CD,français,français,3.0
1046,Wii,2009,Platform,Ubisoft,1.14,78.0,50.0,8.2,64.0,16.0,200.0,15.3,3.0,Autre,français,français,4.0
1047,NES,1986,Action,Capcom,1.14,71.0,48.0,7.0,77.0,15.0,12.0,14.7,12.0,Autre,français,français,4.0
1048,SNES,1990,Simulation,Nintendo,1.14,80.0,13.0,8.0,55.0,18.0,18.0,16.8,3.0,Autre,français,français,4.0
1049,DC,2000,Action,Eidos Interactive,1.14,94.0,18.0,9.5,371.0,9.0,53.0,14.0,16.0,Autre,anglais,français,3.0
1050,GBA,2005,Action,Eidos Interactive,1.14,75.0,9.0,7.8,18.0,10.0,35.0,15.5,3.0,Autre,français,français,1.0
1051,X360,2009,Misc,Activision,1.14,85.0,69.0,6.8,113.0,18.0,109.0,15.8,12.0,DVD Blu-Ray,français,français,3.0
1052,PS2,2001,Simulation,Atari,1.14,73.0,15.0,8.6,38.0,11.0,0.0,15.0,3.0,DVD,français,français,1.0
1053,GC,2004,Racing,Electronic Arts,1.14,82.0,39.0,8.6,232.0,15.0,54.0,17.9,3.0,Autre,français,français,2.0
1054,XB,2002,Simulation,Microsoft Game Studios,1.13,87.0,32.0,8.0,49.0,17.0,22.0,17.4,12.0,DVD,français,français,3.0
1055,3DS,2011,Action,LucasArts,1.13,67.0,25.0,6.3,37.0,11.0,40.0,14.7,7.0,Cartouche,français,français,1.0
1056,GBA,2006,Racing,THQ,1.13,50.0,8.0,5.0,11.0,7.0,4.0,10.8,3.0,Autre,français,français,4.0
1057,3DS,2012,Role-Playing,Nintendo,1.13,73.0,51.0,8.4,275.0,17.0,156.0,17.6,7.0,Cartouche,français,français,2.0
1058,XB,2004,Shooter,Ubisoft,1.13,84.0,55.0,8.1,17.0,14.0,17.0,15.4,16.0,DVD,français,français,2.0
1059,PS4,2014,Sports,Take-Two Interactive,1.13,62.0,44.0,5.2,185.0,11.0,45.0,12.6,16.0,Blu-Ray,français,français,1.0
1060,NES,1983,Platform,Nintendo,1.13,55.0,15.0,6.1,9.0,14.0,1.0,20.0,3.0,Autre,français,anglais,1.0
1061,X360,2013,Sports,Take-Two Interactive,1.13,75.0,43.0,7.7,123.0,17.0,71.0,16.9,16.0,Blu-Ray DVD,français,français,1.0
1062,PS3,2009,Action,Sega,1.13,79.0,77.0,8.0,274.0,14.0,104.0,16.3,18.0,Blu-Ray,japonais,anglais,4.0
1063,PS3,2009,Misc,MTV Games,1.13,88.0,60.0,8.2,76.0,16.0,31.0,16.5,12.0,Blu-Ray,français,français,3.0
1064,X360,2011,Action,Electronic Arts,1.12,79.0,75.0,4.6,2454.0,12.0,205.0,14.8,18.0,Autre,français,français,1.0
1065,PS2,2001,Racing,Activision,1.12,57.0,15.0,7.2,10.0,7.0,5.0,13.4,3.0,Autre,français,français,2.0
1066,N64,1996,Simulation,Nintendo,1.12,80.0,13.0,8.0,55.0,15.0,13.0,16.6,3.0,Cartouche,anglais,français,4.0
1067,X360,2010,Shooter,Microsoft Game Studios,1.12,70.0,91.0,6.0,247.0,14.0,122.0,13.6,18.0,DVD,français,français,4.0
1068,PS3,2013,Role-Playing,Square Enix,1.12,78.0,25.0,6.7,456.0,11.0,0.0,15.0,3.0,Autre,français,français,2.0
1069,PS3,2010,Action,Konami Digital Entertainment,1.12,85.0,62.0,8.1,599.0,18.0,13.0,15.5,16.0,PlayStation Store,anglais,français,3.0
1070,X360,2011,Misc,Ubisoft,1.12,77.0,30.0,8.2,62.0,15.0,61.0,17.7,16.0,DVD Blu-Ray,français,français,3.0
1071,PSP,2005,Shooter,Sony Computer Entertainment,1.12,82.0,44.0,8.1,77.0,12.0,118.0,16.5,16.0,UMD,français,français,3.0
1072,XB,2005,Shooter,Activision,1.12,77.0,39.0,7.9,113.0,11.0,128.0,16.4,16.0,Autre,français,français,3.0
1073,PS2,2009,Misc,Activision,1.12,71.0,4.0,3.2,14.0,11.0,13.0,15.5,3.0,Autre,français,français,3.0
1074,XB,2004,Action,Activision,1.12,83.0,60.0,8.4,55.0,14.0,32.0,17.2,3.0,Autre,français,français,3.0
1075,XB,2003,Shooter,Microsoft Game Studios,1.11,74.0,38.0,7.6,58.0,14.0,42.0,13.4,16.0,DVD,français,français,4.0
1076,PS3,2008,Racing,Codemasters,1.11,87.0,39.0,8.1,131.0,15.0,9.0,14.3,3.0,Autre,français,français,4.0
1077,XOne,2014,Shooter,Microsoft Game Studios,1.11,81.0,89.0,7.9,1513.0,16.0,102.0,16.4,16.0,Autre,français,français,4.0
1078,XB,2005,Action,Ubisoft,1.11,94.0,70.0,9.0,249.0,12.0,34.0,16.1,18.0,Blu-Ray,français,français,2.0
