,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC,langue_parlée_JVC,texte_JVC
2720,Need for Speed: Shift,PSP,2009.0,Racing,Electronic Arts,0.16,0.38,0.01,0.21,0.76,69.0,11.0,6.4,44.0,15.0,157.0,15.4,3.0,Autre,français,français
2722,Dark Souls II,X360,2014.0,Role-Playing,Namco Bandai Games,0.48,0.2,0.01,0.06,0.76,91.0,30.0,7.9,1293.0,17.0,188.0,17.1,16.0,Autre,anglais,français
2724,Legends of Wrestling,PS2,2001.0,Fighting,Acclaim Entertainment,0.37,0.29,0.0,0.1,0.76,55.0,24.0,7.9,16.0,7.0,7.0,10.6,3.0,CD,français,français
2726,Monopoly Streets,Wii,2010.0,Misc,Electronic Arts,0.24,0.44,0.0,0.08,0.76,65.0,9.0,5.2,5.0,13.0,26.0,11.2,3.0,Autre,français,français
2727,Genji: Days of the Blade,PS3,2006.0,Action,Sony Computer Entertainment,0.18,0.38,0.06,0.14,0.76,55.0,46.0,6.2,42.0,8.0,40.0,11.2,3.0,Blu-Ray,anglais,français
2728,Harvest Moon: Animal Parade,Wii,2008.0,Simulation,Rising Star Games,0.6,0.09,0.02,0.05,0.76,76.0,10.0,8.7,31.0,14.0,19.0,17.2,3.0,DVD,français,français
2729,Final Fantasy Legend III,GB,1991.0,Role-Playing,SquareSoft,0.0,0.0,0.76,0.0,0.76,77.0,45.0,8.5,255.0,11.0,3.0,16.7,3.0,Cartouche,français,français
2730,Total War: Rome II,PC,2013.0,Strategy,Sega,0.12,0.53,0.0,0.11,0.76,76.0,71.0,4.4,3964.0,14.0,4.0,10.0,3.0,Autre,français,français
2731,Rare Replay,XOne,2015.0,Misc,Microsoft Game Studios,0.47,0.21,0.01,0.07,0.75,84.0,75.0,7.9,388.0,16.0,42.0,17.6,3.0,Autre,français,français
2732,Spectrobes,DS,2007.0,Role-Playing,Disney Interactive Studios,0.67,0.03,0.0,0.06,0.75,63.0,37.0,7.6,43.0,12.0,96.0,15.1,7.0,Autre,français,français
2733,Wall-E,PS2,2008.0,Platform,THQ,0.21,0.0,0.0,0.54,0.75,67.0,8.0,8.3,30.0,13.0,8.0,11.0,3.0,DVD,français,français
2734,WWE SmackDown vs. Raw 2009,PSP,2008.0,Fighting,THQ,0.41,0.21,0.0,0.14,0.75,72.0,9.0,6.6,16.0,14.0,86.0,16.8,16.0,Autre,français,français
2735,Band Hero,PS3,2009.0,Misc,Activision,0.41,0.24,0.0,0.11,0.75,76.0,45.0,7.1,11.0,15.0,24.0,15.2,12.0,Blu-Ray,français,français
2736,Mega Man X5,PS,2000.0,Platform,Capcom,0.3,0.21,0.2,0.05,0.75,76.0,10.0,8.7,153.0,14.0,3.0,18.0,3.0,Autre,anglais,anglais
2737,Tearaway,PSV,2013.0,Adventure,Sony Computer Entertainment Europe,0.17,0.39,0.0,0.19,0.75,87.0,82.0,8.9,472.0,18.0,92.0,17.8,7.0,Autre,français,français
2738,DJ Hero 2,PS3,2010.0,Misc,Activision,0.47,0.19,0.0,0.09,0.75,86.0,46.0,7.9,28.0,17.0,33.0,16.6,12.0,Blu-Ray,français,français
2739,The Godfather II,PS3,2009.0,Action,Electronic Arts,0.41,0.22,0.01,0.11,0.75,67.0,53.0,7.2,64.0,14.0,206.0,15.1,18.0,Blu-Ray,français,français
2740,WWE SmackDown vs. Raw 2010,Wii,2009.0,Fighting,THQ,0.51,0.17,0.0,0.07,0.75,78.0,11.0,8.1,14.0,16.0,101.0,16.5,16.0,DVD,anglais,français
2741,Turok,X360,2008.0,Action,Touchstone,0.46,0.21,0.01,0.07,0.75,69.0,63.0,7.1,133.0,9.0,52.0,14.4,18.0,Autre,français,français
2743,Shark Tale,PS2,2004.0,Action,Activision,0.37,0.29,0.0,0.1,0.75,69.0,30.0,6.4,8.0,14.0,4.0,10.3,3.0,DVD,français,français
2746,Zone of the Enders,PS2,2001.0,Shooter,Konami Digital Entertainment,0.3,0.24,0.13,0.08,0.75,78.0,21.0,7.1,80.0,15.0,195.0,16.7,16.0,DVD,français,français
2747,Red Faction: Guerrilla,PS3,2009.0,Shooter,THQ,0.33,0.28,0.02,0.12,0.75,85.0,56.0,8.0,160.0,14.0,1.0,15.0,3.0,Autre,français,français
2748,Street Fighter EX Plus Alpha,PS,1997.0,Fighting,Virgin Interactive,0.28,0.19,0.23,0.05,0.75,64.0,17.0,7.9,34.0,11.0,20.0,17.3,12.0,Autre,français,français
2749,Madden NFL 06,PSP,2005.0,Sports,Electronic Arts,0.69,0.0,0.0,0.06,0.75,75.0,23.0,7.9,17.0,16.0,7.0,16.3,3.0,UMD,français,français
2750,Coded Arms,PSP,2005.0,Shooter,Konami Digital Entertainment,0.28,0.29,0.0,0.18,0.75,59.0,42.0,6.5,69.0,9.0,37.0,13.8,12.0,UMD,français,français
2751,Tony Hawk's Underground 2,XB,2004.0,Sports,Activision,0.48,0.24,0.0,0.03,0.75,83.0,55.0,7.6,18.0,17.0,68.0,18.0,3.0,Autre,anglais,français
2754,Madagascar: Escape 2 Africa,DS,2008.0,Action,Activision,0.42,0.26,0.0,0.07,0.75,55.0,6.0,4.4,5.0,10.0,7.0,15.0,7.0,Cartouche,français,français
2755,Split/Second,PS3,2010.0,Racing,Disney Interactive Studios,0.31,0.31,0.01,0.12,0.75,84.0,56.0,8.1,130.0,16.0,192.0,16.3,7.0,Autre,français,français
2756,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001.0,Fighting,Capcom,0.22,0.17,0.3,0.06,0.75,81.0,22.0,8.2,45.0,15.0,57.0,15.8,12.0,DVD,français,français
2757,MVP 06 NCAA Baseball,PS2,2006.0,Sports,Electronic Arts,0.62,0.02,0.0,0.1,0.75,76.0,27.0,8.6,20.0,11.0,0.0,15.0,3.0,CD,français,français
2758,Just Dance 2015,WiiU,2014.0,Misc,Ubisoft,0.4,0.28,0.0,0.07,0.75,75.0,6.0,6.7,30.0,15.0,7.0,16.3,3.0,Autre,français,français
2759,Borderlands: The Pre-Sequel,X360,2014.0,Shooter,Take-Two Interactive,0.46,0.22,0.01,0.06,0.75,74.0,16.0,7.1,240.0,15.0,25.0,11.4,3.0,Autre,français,français
2761,Marvel: Ultimate Alliance 2,PS3,2009.0,Role-Playing,Activision,0.49,0.16,0.0,0.09,0.75,74.0,48.0,7.1,69.0,14.0,35.0,14.2,3.0,Blu-Ray,anglais,anglais
2762,Sega Superstars Tennis,DS,2008.0,Sports,Sega,0.29,0.37,0.0,0.08,0.75,65.0,19.0,8.0,5.0,10.0,26.0,13.2,7.0,Cartouche,anglais,français
2763,The Walking Dead: Season One,X360,2012.0,Adventure,Avanquest Software,0.55,0.14,0.0,0.05,0.75,92.0,12.0,8.6,1287.0,18.0,1.0,18.0,18.0,Autre,français,français
2764,Ace Combat: Assault Horizon,PS3,2011.0,Action,Namco Bandai Games,0.3,0.16,0.22,0.07,0.74,77.0,28.0,6.8,101.0,12.0,1.0,11.0,12.0,Autre,français,français
2767,Resonance of Fate,PS3,2010.0,Role-Playing,Sega,0.2,0.22,0.24,0.09,0.74,72.0,42.0,8.0,168.0,17.0,191.0,17.0,3.0,Blu-Ray,anglais,français
2768,Burnout,PS2,2001.0,Racing,Acclaim Entertainment,0.36,0.28,0.0,0.1,0.74,79.0,25.0,7.4,46.0,15.0,60.0,14.9,3.0,CD,français,français
2769,Tom Clancy's Rainbow Six: Vegas,PSP,2007.0,Shooter,Ubisoft,0.42,0.19,0.0,0.14,0.74,60.0,20.0,7.0,35.0,16.0,171.0,16.6,16.0,Blu-Ray DVD,français,français
2770,Final Fantasy XIII-2,X360,2011.0,Role-Playing,Square Enix,0.36,0.3,0.02,0.06,0.74,79.0,50.0,6.3,310.0,17.0,29.0,17.7,16.0,Autre,anglais,français
2771,LEGO Batman 2: DC Super Heroes,3DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.41,0.27,0.0,0.06,0.74,72.0,6.0,5.3,28.0,11.0,1.0,15.0,9.0,Autre,français,français
2772,Mortal Kombat: Unchained,PSP,2006.0,Fighting,Midway Games,0.67,0.01,0.0,0.06,0.74,70.0,19.0,8.3,47.0,16.0,37.0,18.2,18.0,UMD,anglais,français
2774,Yu-Gi-Oh! Dungeon Dice Monsters,GBA,2001.0,Misc,Konami Digital Entertainment,0.42,0.16,0.15,0.01,0.74,67.0,9.0,8.1,27.0,13.0,30.0,12.9,3.0,Cartouche,français,français
2776,LEGO Marvel Super Heroes,WiiU,2013.0,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74,82.0,8.0,8.1,84.0,16.0,13.0,14.6,7.0,Autre,français,français
2777,Blur,PS3,2010.0,Racing,Activision,0.22,0.37,0.02,0.13,0.74,81.0,58.0,8.2,122.0,15.0,177.0,15.5,7.0,Blu-Ray,français,français
2779,Namco Museum Remix,Wii,2007.0,Misc,Atari,0.68,0.0,0.0,0.05,0.74,49.0,18.0,6.3,12.0,8.0,5.0,15.8,3.0,Autre,français,français
2780,Midnight Club 3: DUB Edition,XB,2005.0,Racing,Take-Two Interactive,0.61,0.1,0.0,0.03,0.74,84.0,53.0,7.4,45.0,11.0,16.0,18.7,12.0,Autre,français,français
2784,Indiana Jones and the Staff of Kings,Wii,2009.0,Action,Activision,0.36,0.3,0.0,0.08,0.74,55.0,32.0,7.0,35.0,13.0,28.0,14.0,16.0,Autre,français,français
2787,Unreal Championship,XB,2002.0,Shooter,Atari,0.59,0.12,0.0,0.03,0.74,83.0,29.0,8.2,21.0,18.0,31.0,16.6,16.0,DVD,français,français
2789,Pirates of the Caribbean: At World's End,PS3,2007.0,Action,Disney Interactive Studios,0.17,0.41,0.0,0.15,0.74,55.0,24.0,6.8,33.0,13.0,42.0,13.1,16.0,Autre,français,français
2790,Tiger Woods PGA Tour 08,PS3,2007.0,Sports,Electronic Arts,0.22,0.38,0.0,0.14,0.74,79.0,30.0,6.6,8.0,15.0,5.0,12.8,3.0,Blu-Ray,anglais,français
2791,Persona 4: Arena,PS3,2012.0,Fighting,Atlus,0.3,0.12,0.24,0.07,0.74,86.0,47.0,5.7,380.0,13.0,2.0,15.0,12.0,Autre,français,français
2792,Sword of Mana,GBA,2003.0,Role-Playing,Nintendo,0.31,0.11,0.3,0.02,0.74,72.0,31.0,8.5,34.0,18.0,117.0,17.0,3.0,Cartouche,français,français
2793,Harvest Moon DS: Island of Happiness,DS,2007.0,Simulation,Rising Star Games,0.44,0.01,0.25,0.04,0.74,65.0,15.0,6.9,26.0,9.0,44.0,15.8,3.0,Cartouche,français,français
2794,Star Ocean: The Last Hope International,PS3,2010.0,Role-Playing,Square Enix,0.28,0.16,0.22,0.08,0.73,74.0,45.0,7.9,143.0,15.0,94.0,15.0,12.0,Blu-Ray,anglais,français
2795,The Sims 2: Castaway,DS,2007.0,Simulation,Electronic Arts,0.63,0.05,0.0,0.06,0.73,66.0,8.0,4.6,10.0,14.0,30.0,14.6,12.0,DVD,français,français
2797,Dragon Ball Z: Ultime Menace,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,0.73,0.0,0.73,72.0,31.0,6.6,35.0,12.0,44.0,12.7,3.0,Autre,français,français
2799,Call of Duty: Ghosts,PC,2013.0,Shooter,Activision,0.23,0.41,0.0,0.09,0.73,68.0,14.0,2.3,3591.0,11.0,2.0,8.5,16.0,Autre,français,français
2800,Yoshi,GB,1991.0,Puzzle,Nintendo,0.0,0.0,0.73,0.0,0.73,91.0,26.0,8.9,194.0,16.0,37.0,15.8,3.0,Autre,français,français
2802,F1 2011,X360,2011.0,Racing,Codemasters,0.11,0.51,0.01,0.09,0.73,84.0,61.0,7.2,60.0,17.0,135.0,16.9,3.0,Autre,français,français
2803,Madden NFL 10,Wii,2009.0,Sports,Electronic Arts,0.63,0.04,0.0,0.06,0.73,77.0,23.0,7.1,24.0,11.0,5.0,14.2,3.0,DVD,français,français
2804,Kirby: Canvas Curse,DS,2005.0,Platform,Nintendo,0.37,0.0,0.32,0.04,0.73,86.0,48.0,7.8,112.0,15.0,49.0,15.9,3.0,Cartouche,français,français
2807,Oddworld: Munch's Oddysee,XB,2001.0,Platform,Atari,0.54,0.16,0.0,0.03,0.73,80.0,30.0,8.7,43.0,16.0,4.0,15.3,3.0,Autre,français,français
2809,NHL 11,X360,2010.0,Sports,Electronic Arts,0.61,0.07,0.0,0.05,0.73,88.0,49.0,7.7,73.0,16.0,45.0,17.4,12.0,Blu-Ray DVD,anglais,français
2810,Dragon Age: Inquisition,PC,2014.0,Role-Playing,Electronic Arts,0.32,0.34,0.0,0.07,0.73,85.0,45.0,6.0,4800.0,15.0,7.0,15.0,18.0,Autre,français,français
2812,DiRT 3,X360,2011.0,Racing,Codemasters,0.23,0.41,0.01,0.08,0.73,87.0,81.0,7.1,179.0,15.0,163.0,15.6,12.0,Blu-Ray DVD,français,français
2813,NCAA Football 07,X360,2006.0,Sports,Electronic Arts,0.67,0.0,0.0,0.06,0.73,79.0,43.0,7.0,22.0,11.0,0.0,15.0,3.0,Autre,français,français
2814,Just Dance Wii,Wii,2011.0,Misc,Nintendo,0.0,0.0,0.73,0.0,0.73,74.0,15.0,8.0,23.0,11.0,1.0,13.0,3.0,DVD,français,français
2815,Full Spectrum Warrior,XB,2004.0,Strategy,THQ,0.54,0.16,0.0,0.03,0.73,84.0,67.0,8.4,36.0,16.0,22.0,17.5,16.0,Autre,anglais,français
2816,Katamari Damacy,PS2,2004.0,Puzzle,Namco Bandai Games,0.47,0.02,0.17,0.08,0.73,86.0,55.0,8.8,144.0,11.0,2.0,17.5,3.0,DVD,anglais,anglais
