,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC,langue_parlée_JVC,texte_JVC
2820,Shaun Palmer's Pro Snowboarder,PS2,2001.0,Sports,Codemasters,0.36,0.28,0.0,0.09,0.73,64.0,17.0,8.6,13.0,16.0,35.0,17.4,3.0,Autre,français,français
2821,MX vs. ATV Reflex,X360,2009.0,Racing,THQ,0.52,0.15,0.0,0.06,0.73,75.0,47.0,6.6,37.0,11.0,83.0,16.2,3.0,Autre,français,français
2823,SSX,X360,2012.0,Sports,Electronic Arts,0.38,0.28,0.0,0.06,0.72,82.0,65.0,6.4,195.0,17.0,219.0,15.3,3.0,Autre,français,français
2824,Style Savvy: Trendsetters,3DS,2012.0,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.72,76.0,5.0,7.6,18.0,11.0,0.0,15.0,3.0,Cartouche,français,français
2825,James Bond 007: Agent Under Fire,GC,2002.0,Shooter,Electronic Arts,0.56,0.15,0.0,0.02,0.72,74.0,16.0,6.8,42.0,14.0,20.0,16.6,12.0,Autre,français,français
2826,XCOM: Enemy Unknown,PC,2012.0,Strategy,Take-Two Interactive,0.26,0.36,0.0,0.1,0.72,89.0,57.0,8.2,2592.0,18.0,75.0,14.5,18.0,Autre,français,français
2827,Rabbids Go Home,DS,2009.0,Platform,Ubisoft,0.35,0.3,0.0,0.07,0.72,70.0,7.0,5.8,6.0,11.0,6.0,8.0,7.0,Autre,français,français
2828,Star Wars Episode III: Revenge of the Sith,GBA,2005.0,Action,Ubisoft,0.52,0.19,0.0,0.01,0.72,73.0,13.0,8.0,20.0,13.0,46.0,15.5,7.0,Cartouche,anglais,français
2829,Ultimate Spider-Man,PS2,2005.0,Action,Activision,0.6,0.02,0.0,0.1,0.72,74.0,52.0,8.2,125.0,14.0,98.0,15.8,12.0,DVD,français,français
2830,FIFA Soccer 13,Wii,2012.0,Action,Electronic Arts,0.19,0.46,0.0,0.08,0.72,69.0,28.0,6.5,61.0,5.0,53.0,9.2,3.0,DVD,français,français
2831,God Eater,PSP,2010.0,Action,Unknown,0.0,0.0,0.72,0.0,0.72,71.0,30.0,8.0,41.0,11.0,9.0,18.3,3.0,UMD,français,français
2832,Final Fantasy XIV: A Realm Reborn,PS4,2014.0,Role-Playing,Square Enix,0.32,0.22,0.08,0.1,0.72,86.0,35.0,7.7,838.0,11.0,1.0,18.0,3.0,Autre,français,français
2833,SD Gundam G Generation,PS,1998.0,Strategy,Namco Bandai Games,0.0,0.0,0.67,0.05,0.72,71.0,10.0,7.7,15.0,11.0,1.0,13.0,12.0,Autre,japonais,français
2835,NBA Live 08,PS2,2007.0,Sports,Electronic Arts,0.59,0.02,0.01,0.1,0.72,68.0,10.0,6.7,10.0,13.0,12.0,12.8,3.0,DVD,français,français
2836,NBA Live 08,PS2,2007.0,Sports,Electronic Arts,0.59,0.02,0.01,0.1,0.72,68.0,10.0,6.7,10.0,13.0,12.0,12.8,3.0,DVD,français,français
2837,Dead to Rights,XB,2002.0,Shooter,Electronic Arts,0.53,0.17,0.0,0.03,0.72,73.0,39.0,7.8,19.0,11.0,1.0,10.0,12.0,Autre,français,français
