,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,developpeur_goo,distributeur_goo,langue_goo,PEGI_goo,game_series_goo,game_mode_goo,developpeur_wiki,langue_wiki,PEGI_wiki,game_mode_wiki,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,langue_parlée_JVC,texte_JVC,nb_joueurs_JVC
5947,X-Men Legends II: Rise of Apocalypse,PSP,2005.0,Role-Playing,Activision,0.25,0.01,0.0,0.03,0.29,,,,,,,,,,,84.0,30.0,8.4,60.0,12,21,15.8,12.0,4.0,Multi en local Multi en ligne,,,,4.0
5948,Junior Brain Trainer 2,DS,2010.0,Misc,GSP,0.04,0.21,0.0,0.04,0.29,,,,,,,,,,,,,,,,,,,,,,,,
5949,The Chronicles of Riddick: Assault on Dark Athena,X360,2009.0,Shooter,Atari,0.16,0.1,0.0,0.03,0.29,,,,,,,Starbreeze Studios,Anglais,16.0,De 1 à 12 joueurs,82.0,67.0,8.3,92.0,14,33,16.3,18.0,,,DVD Blu-Ray,anglais,français,
5950,Need for Speed Underground,GBA,2003.0,Racing,Electronic Arts,0.21,0.08,0.0,0.01,0.29,,,,,,,,,,,77.0,9.0,8.0,32.0,11,25,14.2,3.0,2.0,,Cartouche,,,2.0
5951,Power Pro Kun Pocket 4,GBA,2002.0,Sports,Konami Digital Entertainment,0.0,0.0,0.29,0.01,0.29,,,,,,,,,,,,,,,,,,,,,,,,
5952,The Godfather: Dons Edition,PS3,2007.0,Action,Electronic Arts,0.25,0.02,0.0,0.03,0.29,,,,,,,,,,,70.0,31.0,7.7,39.0,13,35,16.6,18.0,,Jouable en solo,Blu-Ray,français,français,
5953,Soul Sacrifice Delta,PSV,2014.0,Action,Sony Computer Entertainment,0.01,0.12,0.12,0.04,0.29,,,,,,,,,,,82.0,24.0,8.5,151.0,17,32,18.8,16.0,,Jouable en solo,New Game Media,,anglais,
5954,Guardian Heroes,SAT,1995.0,Role-Playing,Sega,0.0,0.0,0.29,0.0,0.29,,,,,,,,,,,83.0,32.0,8.2,33.0,,,,,,,,,,
5955,Assassin's Creed IV: Black Flag,WiiU,2013.0,Action,Ubisoft,0.18,0.09,0.0,0.03,0.29,,,,,,,Ubisoft Montréal1,Multilingue,,"Un joueur, multijoueur en ligne.",86.0,5.0,7.7,247.0,--,4,14.3,18.0,,Jouable en solo,DVD,,,
5956,MLB Power Pros,Wii,2007.0,Sports,Konami Digital Entertainment,0.23,0.0,0.04,0.02,0.29,,,,,,,Konami,,,Solo,83.0,12.0,8.1,49.0,--,1,15,3.0,,,DVD,,,
5957,Outlaw Golf,XB,2002.0,Sports,TDK Mediactive,0.22,0.06,0.0,0.01,0.29,,,,,,,Hypnotix,,,"Solo, multijoueur",72.0,23.0,6.9,9.0,14,2,17,12.0,,,CD Nintendo Game Disc DVD,français,français,
5958,The Amazing Spider-Man 2 (2014),PS3,2014.0,Action,Activision,0.06,0.16,0.02,0.05,0.29,,,,,,,,,,,57.0,4.0,4.8,73.0,13,28,15.4,16.0,,Jouable en solo,Blu-Ray,français,français,
5959,Dynasty Warriors: Strikeforce,PS3,2009.0,Action,Tecmo Koei,0.11,0.08,0.07,0.03,0.29,,,,,,,Omega Force,Multilingue,,"Un joueur, multijoueur",64.0,27.0,6.9,17.0,12,34,12.1,12.0,2.0,,Blu-Ray,,,2.0
5960,Fisherman's Bait 2: Big Ol' Bass,PS,1999.0,Sports,Konami Digital Entertainment,0.16,0.11,0.0,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,
5961,Lupin the 3rd: Treasure of the Sorcerer King,PS2,2002.0,Adventure,505 Games,0.02,0.02,0.25,0.01,0.29,,,,,"Lupin The 3rd - Treasure Of The Sorcerer King · Genre: Action , Aventure · Nb ...",,,,,,67.0,16.0,7.2,5.0,,,,,,,,,,
5962,Up,X360,2009.0,Action,THQ,0.2,0.07,0.0,0.03,0.29,,,,,,,,,,,61.0,18.0,7.0,8.0,--,1,14,,,,,,,
5963,Kurohyou: Ryu ga Gotoku Shinshou,PSP,2010.0,Adventure,Sega,0.0,0.0,0.29,0.0,0.29,,,,,,"Single-player, multiplayer",,,,,,,,,,,,,,,,,,
5964,Prince of Persia: Rival Swords,Wii,2007.0,Action,Ubisoft,0.24,0.03,0.0,0.02,0.29,,,,,,,,,,,70.0,30.0,7.9,24.0,18,94,17.2,16.0,,Jouable en solo,,,,
5965,One Piece Unlimited Cruise 2: Awakening of a Hero,Wii,2009.0,Action,Namco Bandai Games,0.0,0.1,0.17,0.02,0.29,,,,,One Peace,,,,,,67.0,17.0,8.3,37.0,,,,,,,,,,
5966,Ben 10 Alien Force: Vilgax Attacks,PS2,2009.0,Action,D3Publisher,0.11,0.03,0.0,0.15,0.29,,,,,,,,,,,,,,,8,4,14.8,12.0,,Jouable en solo,DVD,anglais,français,
5967,Majin and the Forsaken Kingdom,PS3,2010.0,Adventure,Namco Bandai Games,0.09,0.14,0.01,0.05,0.29,,,,,,,Game Republic,Français intégrale,12.0,Un joueur,72.0,49.0,7.9,47.0,17,105,16.4,12.0,,Jouable en solo,Blu-Ray,,,
5968,NBA Street V3,GC,2005.0,Sports,Electronic Arts,0.23,0.06,0.0,0.01,0.29,,,,,,,,,,,88.0,36.0,8.0,18.0,17,15,18.9,3.0,,,DVD Nintendo Game Disc,anglais,français,
5969,WinBack: Covert Operations,PS2,2000.0,Shooter,Midas Interactive Entertainment,0.14,0.11,0.0,0.04,0.29,,,,,,,Omega Force,,,"Un joueur, multijoueur",66.0,11.0,7.8,23.0,--,1,20,12.0,,,,,,
5970,Punch-Out!!,Wii,2007.0,Sports,Nintendo,0.02,0.22,0.05,0.0,0.29,"Nintendo, Next Level Games, PLUS",,,,,,,,,,86.0,62.0,8.5,148.0,17,86,16.8,,2.0,Multi sur le même écran,DVD,,,2.0
5971,FlatOut: Head On,PSP,2008.0,Racing,Empire Interactive,0.13,0.11,0.0,0.06,0.29,,,,,,,Bugbear Entertainment,,,"Un joueur, 2 joueurs",74.0,28.0,8.4,31.0,14,41,16.6,12.0,4.0,,UMD,français,français,4.0
5972,Kagero: Deception II,PS,1998.0,Strategy,Virgin Interactive,0.03,0.02,0.22,0.02,0.29,Tecmo,,,,Deception,,,,,,60.0,36.0,7.9,20.0,,,,,,,,,,
5973,Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban,PS,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,
5974,The Bureau: XCOM Declassified,PS3,2013.0,Shooter,Take-Two Interactive,0.08,0.16,0.0,0.05,0.29,,,,,,,,,,,69.0,22.0,6.8,86.0,--,2,3,,,Jouable en solo,Contenu Xbox Live Online,français,français,
5975,NBA Live 06,X360,2005.0,Sports,Electronic Arts,0.27,0.0,0.0,0.02,0.29,,,,,,,EA Canada,,,"Un joueur, multijoueur",64.0,35.0,5.7,19.0,17,26,17.3,3.0,,Multi en local Multi en ligne,UMD Blu-Ray DVD Nintendo Game Disc CD,français,français,
5976,Guitar Hero: Van Halen,Wii,2009.0,Misc,Activision,0.14,0.12,0.0,0.03,0.29,,,,,,,Neversoft,,,Un à quatre joueurs en localHuit joueurs en ligne,50.0,12.0,5.7,7.0,13,6,15.2,12.0,4.0,Multi en ligne,DVD,français,français,4.0
5977,J-League Victory Goal '96,SAT,1996.0,Sports,Sega,0.0,0.0,0.29,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,
5978,Shin Megami Tensei: Strange Journey,DS,2009.0,Role-Playing,Atlus,0.14,0.0,0.14,0.01,0.29,,,,,,,,,,,80.0,26.0,5.4,283.0,15,10,13.7,12.0,,,eShop Cartouche,,,
5979,Jeopardy! 2nd Edition,PS,2000.0,Misc,Hasbro Interactive,0.16,0.11,0.0,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,
5980,SD Gundam G Century,PS,1997.0,Strategy,Namco Bandai Games,0.0,0.0,0.27,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,
5981,Ratchet & Clank: Size Matters,PS2,2008.0,Platform,Sony Computer Entertainment,0.13,0.1,0.03,0.03,0.29,,,,,,"Single player, multiplayer",High Impact Games,Multilingue,7.0,"Un joueur, multijoueur (réseau local et en ligne)",62.0,35.0,6.5,83.0,,,,,,,,,,
5982,Ben 10 Ultimate Alien: Cosmic Destruction,Wii,2010.0,Platform,D3Publisher,0.17,0.1,0.0,0.02,0.29,,,,,,,,,,,,,,,9,9,15.9,12.0,,,DVD,,,
5983,Atelier Iris 3: Grand Phantasm (US Sales),PS2,2006.0,Role-Playing,Tecmo Koei,0.14,0.11,0.0,0.04,0.29,,,,,,,,,,,63.0,34.0,6.8,17.0,,,,,,,,,,
5984,Itadaki Street 2: Neon Sign wa Bara Iro ni,SNES,1994.0,Misc,Enix Corporation,0.0,0.0,0.29,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,
5985,Def Jam Rapstar,X360,2010.0,Misc,Konami Digital Entertainment,0.25,0.03,0.0,0.02,0.29,,,,,,,4mm Games,Voix en anglais,16.0,"Un joueur, multijoueur",74.0,36.0,6.1,9.0,15,7,16,12.0,,,Blu-Ray DVD,français,français,
5986,Need for Speed: The Run,Wii,2011.0,Action,Electronic Arts,0.13,0.13,0.01,0.03,0.29,,,,,,,,,,,64.0,6.0,4.5,30.0,9,35,11.4,,,,,,,
5987,From TV Animation One Piece: Treasure Battle!,GC,2002.0,Fighting,Namco Bandai Games,0.0,0.0,0.28,0.01,0.29,,,,,,,,,,,67.0,14.0,7.0,12.0,,,,,,,,,,
5988,Starhawk,PS3,2012.0,Action,Sony Computer Entertainment,0.18,0.05,0.03,0.03,0.29,,,,,,,,,,,77.0,71.0,7.8,204.0,15,56,16.6,16.0,32.0,Multi en ligne,Blu-Ray,,,32.0
5989,Dolphin,2600,1983.0,Action,Activision,0.27,0.02,0.0,0.0,0.29,,,,,,,,,,,71.0,17.0,8.6,14.0,--,1,3,3.0,1.0,,Cartouche,anglais,anglais,1.0
5990,Imagine: Fashion Designer World Tour,DS,2009.0,Simulation,Ubisoft,0.27,0.0,0.0,0.02,0.29,,,,,,,,,,,,,,,--,0,--,,,,Cartouche,,,
5991,Area 51,XB,2005.0,Shooter,Midway Games,0.22,0.06,0.0,0.01,0.29,,,,,,,,,,,72.0,43.0,7.8,23.0,--,,,,,,,,,
5992,The Smurfs: Dance Party,Wii,2011.0,Misc,Ubisoft,0.22,0.04,0.0,0.02,0.29,,,,,,,,,,,,,,,8,9,7.6,3.0,2.0,,DVD,,français,2.0
5993,Disney Channel: All Star Party,Wii,2010.0,Misc,Disney Interactive Studios,0.18,0.08,0.0,0.02,0.29,,,,,,,,,,,,,,,--,,,3.0,,,DVD,,,
5994,Ace Combat: Joint Assault,PSP,2010.0,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,,,,,,Campaign; Free Mission; M...,,,,,71.0,30.0,7.0,18.0,14,49,16.1,12.0,2.0,,UMD,anglais,français,2.0
5995,Hamster Club 4: Shigessa Daidassou,GBA,2003.0,Simulation,Jorudan,0.0,0.0,0.28,0.01,0.29,,,,,,,,,,,,,,,,,,,,,,,,
5996,Medieval Moves: Deadmund's Quest,PS3,2011.0,Action,Sony Computer Entertainment,0.13,0.12,0.0,0.05,0.29,,,,,,,,,,,61.0,41.0,7.0,19.0,13,13,13.7,7.0,,Multi en ligne Multi en coopératif,Blu-Ray,,,
5997,Angry Birds Star Wars,X360,2013.0,Strategy,Activision,0.16,0.11,0.0,0.03,0.29,,,,,,,Rovio Entertainment,,,Solo,59.0,3.0,6.0,26.0,17,66,16.9,3.0,,Jouable en solo,eShop PlayStation Store Facebook Xbox Live Arcade Google Play CD WiiWare Cartouche Online App Store Blu-Ray,anglais,anglais,
5998,Mega Man X8,PS2,2004.0,Platform,Capcom,0.14,0.11,0.0,0.04,0.29,,,,,,,Capcom Production Studio 1,"Anglais, japonais",,Un joueur,68.0,23.0,8.7,153.0,12,14,15.6,7.0,,Jouable en solo,DVD,anglais,français,
5999,CSI: Deadly Intent,Wii,2009.0,Adventure,Ubisoft,0.13,0.13,0.0,0.03,0.29,,,,,,,Telltale Games,,,Un joueur,,,,,13,,,16.0,,Jouable en solo,DVD,,français,
6000,Ford Mustang: The Legend Lives,PS2,2005.0,Racing,Take-Two Interactive,0.14,0.11,0.0,0.04,0.29,,,,,,,,,,,58.0,5.0,7.1,10.0,,,,,,,,,,
6001,Ys: Memories of Celceta,PSV,2012.0,Action,Nihon Falcom Corporation,0.15,0.01,0.1,0.04,0.29,,,,,,,Nihon Falcom,"Anglais, japonais",,Solo,82.0,56.0,8.7,287.0,16,39,16.6,12.0,,Jouable en solo,New Game Media,anglais,anglais,
6002,FIFA Soccer 13,3DS,2012.0,Action,Electronic Arts,0.06,0.2,0.0,0.03,0.29,,,,,,,,,,,68.0,4.0,4.1,19.0,5,40,9.2,3.0,2.0,Jouable en solo Multi en local,Cartouche,français,français,2.0
6003,Fast Food,2600,1981.0,Action,Unknown,0.27,0.02,0.0,0.0,0.29,,,,,,,,,,,69.0,11.0,6.4,663.0,--,1,13,,,,,,,
6004,Jikkyou Powerful Pro Yakyuu 8,PS2,2001.0,Sports,Konami Digital Entertainment,0.0,0.0,0.29,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,
6005,Viz,N64,1998.0,Racing,Acclaim Entertainment,0.23,0.06,0.0,0.0,0.29,,,,,,,,,,,,,,,--,0,--,,,,,,,
6006,Top Gear Overdrive,N64,1998.0,Racing,Kemco,0.23,0.06,0.0,0.0,0.29,,,,,,,Snowblind Studios,,,Un à quatre joueur(s),,,,,--,5,15.2,,,,Cartouche,,,
6007,Xena: Warrior Princess - The Talisman of Fate,N64,1999.0,Fighting,Titus,0.23,0.06,0.0,0.0,0.29,,,,,,,,,,,,,,,11,11,16.5,,2.0,,,,,2.0
6008,Jeremy McGrath Supercross 2000,N64,1999.0,Racing,Acclaim Entertainment,0.23,0.06,0.0,0.0,0.29,,,,,,,Acclaim,,,"Un joueur, multijoueur",43.0,14.0,8.0,4.0,--,0,--,3.0,,,Cartouche,,,
6009,The New Tetris,N64,1999.0,Puzzle,Nintendo,0.22,0.05,0.02,0.0,0.29,,,,,,,Blue Planet Software,,,Un à quatre joueur(s),,,,,--,5,18.2,3.0,4.0,,Cartouche,,,4.0
6010,Ken Griffey Jr.'s Slugfest,N64,1999.0,Sports,Nintendo,0.23,0.06,0.0,0.0,0.29,,,,,,,Angel Studios,,,Un à deux joueur(s),,,,,--,0,--,,4.0,,Cartouche,,,4.0
6011,Supercross 2000,N64,1999.0,Racing,Electronic Arts,0.23,0.06,0.0,0.0,0.29,MBL Research,,,,,Multijoueur,,,,,,,,,--,1,16,3.0,2.0,,Cartouche,,,2.0
6012,War Gods,N64,1997.0,Fighting,Midway Games,0.23,0.06,0.0,0.0,0.29,"Eurocom, Midway Games",,,,,Multijoueur,Midway Manufacturing Company,,,"Solo, multijoueur",,,,,--,4,12.5,,,,Cartouche,,,
6013,Bladestorm: The Hundred Years' War,PS3,2007.0,Action,Tecmo Koei,0.1,0.03,0.14,0.02,0.29,,,,,,,,,,,58.0,23.0,7.9,29.0,9,40,15.1,12.0,,Jouable en solo,Online,français,français,
6014,World of Tanks,PC,2011.0,Shooter,Wargaming.net,0.0,0.23,0.0,0.06,0.29,"Wargaming.net, Lesta Studio, Wargaming Chicago-Baltimore, Persha Studia",,,,,,Wargaming Minsk,Multilingue,7.0,Multijoueur,80.0,38.0,3.4,2093.0,15,413,13.3,12.0,30.0,Multi en ligne,Online,français,français,30.0
6015,Jewel Quest Mysteries: Curse of the Emerald Tear,DS,2010.0,Puzzle,Avanquest,0.0,0.25,0.0,0.04,0.29,,,,,,,,,,,,,,,,,,,,,,,,
6016,Duel Masters: Sempai Legends,GBA,2003.0,Misc,Atari,0.21,0.08,0.0,0.01,0.29,,,,,,,,,,,69.0,19.0,8.2,6.0,10,14,13.3,3.0,2.0,,Cartouche,français,français,2.0
6017,Marvel Super Hero Squad,PS2,2009.0,Fighting,THQ,0.14,0.11,0.0,0.04,0.29,"Blue Tongue Entertainment, Mass Media, Halfbrick",,,,,Multijoueur,Blue Tongue Entertainment (PS2),,,"Solo, multijoueur",,,,,--,2,17,7.0,,,,,,
6018,Turning Point: Fall of Liberty,X360,2008.0,Shooter,Codemasters,0.23,0.04,0.0,0.02,0.29,,,,,,,Spark Unlimited,Français,,"Un joueur, Multijoueur",43.0,44.0,6.6,93.0,8,34,11,16.0,,Multi en ligne,Blu-Ray DVD,,,
6019,Heroes of the Pacific,PS2,2005.0,Simulation,Codemasters,0.14,0.11,0.0,0.04,0.29,,,,,,,Transmission Games (en) (anciennement IR Gurus),,12.0,"Multijoueur, solo",76.0,31.0,8.4,15.0,,,,,,,,,,
6020,Dead Rising: Chop Till You Drop,Wii,2009.0,Action,Capcom,0.15,0.07,0.05,0.02,0.29,,,,,,,,,,,61.0,30.0,6.5,40.0,12,80,14.4,18.0,,Jouable en solo,DVD,anglais,français,
6021,The Lord of the Rings: The Third Age,GC,2004.0,Role-Playing,Electronic Arts,0.22,0.06,0.0,0.01,0.29,,,,,,,,,,,74.0,25.0,8.1,24.0,14,29,16.6,12.0,,,Nintendo Game Disc Cartouche DVD,français,français,
6022,Disney Infinity,3DS,2013.0,Action,Disney Interactive Studios,0.16,0.1,0.0,0.02,0.29,,,,,,,"Avalanche Software, Altron (3DS)",,,,,,,,5,5,3.6,7.0,,,,,,
6023,Fable: The Journey,X360,2012.0,Role-Playing,Microsoft Game Studios,0.18,0.09,0.0,0.02,0.29,,,,,,,Lionhead Studios,Multilingue,,Un joueur,61.0,70.0,4.9,91.0,13,33,14.5,12.0,,Jouable en solo,DVD,,,
6024,Nicktoons: Battle for Volcano Island,GC,,Action,Unknown,0.22,0.06,0.0,0.01,0.29,,,,,,,Blue Tongue Entertainment,,,"Solo, multijoueur",59.0,7.0,7.2,17.0,,,,,,,,,,
6025,Sonic Boom: Shattered Crystal,3DS,2014.0,Action,Sega,0.17,0.09,0.0,0.03,0.29,,,,,,,Sanzaru Games,,,Solo,47.0,21.0,6.1,176.0,--,13,13.8,7.0,,Jouable en solo,Cartouche,,français,
6026,Just Dance Wii 2,Wii,2012.0,Misc,Nintendo,0.0,0.0,0.29,0.0,0.29,,,,,,,,,,,74.0,24.0,7.2,31.0,--,1,20,,4.0,Jouable en solo Multi sur le même écran Multi en local,DVD,,,4.0
6027,Madden NFL 08,XB,2007.0,Sports,Electronic Arts,0.22,0.06,0.0,0.01,0.29,,,,,,,EA Tiburon,,,Solo et multijoueur,85.0,46.0,7.1,149.0,15,4,19,3.0,,Multi en ligne,UMD Blu-Ray DVD Nintendo Game Disc Cartouche,français,français,
6028,DX Game of Life,PS,1996.0,Misc,Takara,0.0,0.0,0.27,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,
6029,Pirates of the Caribbean,XB,2003.0,Role-Playing,Ubisoft,0.22,0.06,0.0,0.01,0.29,,,,,,,,,,,65.0,30.0,7.4,28.0,--,1,14,,,,,,,
6030,Operation Flashpoint: Red River,X360,2011.0,Shooter,Codemasters,0.1,0.15,0.01,0.03,0.29,,,,,,,Codemasters,"Anglais, français, allemand, italien, espagnol",,"Solo, multijoueur",69.0,64.0,5.8,33.0,14,95,14.9,18.0,,Multi en ligne,Blu-Ray DVD,français,français,
6031,One Piece: Pirate Warriors 3,PS3,2015.0,Action,Namco Bandai Games,0.0,0.09,0.19,0.01,0.29,,,,,,,Omega Force,"Anglais, français, italien, allemand, espagnol, japonais, chinois traditionnel (d)",12.0,"Un joueur, multijoueur",,,,,13,10,16.1,,,,Blu-Ray,,,
6032,The Punisher,XB,2005.0,Action,THQ,0.22,0.06,0.0,0.01,0.29,,,,,,,,,,,69.0,47.0,8.4,31.0,11,37,16.2,18.0,,Jouable en solo,CD DVD,anglais,français,
6033,MLB Pennant Race,PS,1996.0,Sports,Sony Computer Entertainment,0.16,0.11,0.0,0.02,0.29,989 Studios,,,,,Multijoueur,,,,,,,,,,,,,,,,,,
6034,Transformers: Dark of the Moon,X360,2011.0,Action,Activision,0.13,0.13,0.0,0.03,0.29,,,,,,,,,,,59.0,53.0,6.2,38.0,5,9,6.6,7.0,2.0,,Cartouche,français,français,2.0
6035,SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,1991.0,Role-Playing,Angel Studios,0.0,0.0,0.29,0.0,0.29,,,,,Gundam series,,,,,,,,,,,,,,,,,,,
6036,GRID 2,X360,2013.0,Racing,Codemasters,0.08,0.17,0.0,0.03,0.29,,,,,,,Codemasters,Français (textes et voix),3.0,Solo et multijoueur,78.0,51.0,5.8,166.0,16,116,14.5,7.0,,Multi sur le même écran Multi en ligne,Blu-Ray DVD,français,français,
6037,WWII Aces,Wii,2008.0,Simulation,Destineer,0.27,0.0,0.0,0.02,0.29,,,,,,,,,,,41.0,7.0,5.4,18.0,--,,,,,,,,,
6038,Puzzle Quest: Challenge of the Warlords,Wii,2007.0,Puzzle,D3Publisher,0.26,0.0,0.0,0.02,0.29,,,,,,,Infinite Interactive,Anglais,,"Multijoueur, solo",71.0,17.0,6.2,5.0,--,1,20,,,,,,,
6039,Shrek Super Party,PS2,2002.0,Misc,TDK Mediactive,0.14,0.11,0.0,0.04,0.29,,,,,,,,,,,30.0,4.0,4.7,19.0,,,,,,,,,,
6040,"Sakura Wars 4: Koi Seyo,Otome",DC,2002.0,Adventure,Sega,0.0,0.0,0.29,0.0,0.29,,,,,,,,,,,73.0,62.0,7.5,174.0,,,,,,,,,,
6041,"Sakura Wars: So Long, My Love",PS2,2005.0,Role-Playing,Sega,0.07,0.05,0.15,0.02,0.29,,,,,,,,,,,81.0,15.0,8.3,40.0,--,0,--,,,,DVD,,,
6042,Dynasty Tactics,PS2,2002.0,Strategy,Tecmo Koei,0.06,0.05,0.16,0.02,0.29,,,,,,,Koei,,,,79.0,14.0,8.2,33.0,16,12,17.2,12.0,2.0,,DVD,anglais,anglais,2.0
6043,The Urbz: Sims In the City (US weekly sales),DS,2004.0,Simulation,Electronic Arts,0.27,0.0,0.0,0.02,0.29,,,,,,,,,,,67.0,27.0,8.0,27.0,,,,,,,,,,
6044,Lightning Returns: Final Fantasy XIII,X360,2013.0,Role-Playing,Square Enix,0.15,0.1,0.01,0.02,0.29,,,,,,,,,,,69.0,21.0,6.6,269.0,15,25,19.4,16.0,,Jouable en solo Multi en ligne,Online DVD Blu-Ray,anglais,français,
6045,Feel the Magic XY/XX,DS,2004.0,Puzzle,Sega,0.17,0.0,0.1,0.02,0.29,,,,,,,,,,,75.0,55.0,7.5,20.0,,,,,,,,,,
6046,Neopets Puzzle Adventure,DS,2008.0,Puzzle,Capcom,0.26,0.0,0.0,0.02,0.29,,,,,,,,,,,70.0,12.0,,,13,2,8,3.0,2.0,,,,,2.0
6047,Sonic & All-Stars Racing Transformed,3DS,2012.0,Racing,Sega,0.12,0.15,0.0,0.02,0.29,,,,,,,,,,,63.0,10.0,5.8,43.0,,,,,,,,,,
6048,Shrek the Third,Wii,2007.0,Action,Activision,0.26,0.01,0.0,0.02,0.29,,,,,,,,,,,57.0,28.0,4.8,13.0,9,13,7.4,7.0,,,,,,
6049,Snowboarding,PS,2000.0,Sports,Midas Interactive Entertainment,0.16,0.11,0.0,0.02,0.29,,,,,,,,,,,70.0,9.0,,,--,,,,,,,,,
6050,Purr Pals,Wii,2008.0,Simulation,Deep Silver,0.27,0.0,0.0,0.02,0.29,,,,,,,,,,,,,,,--,,,,,,,,,
6051,Dragon Ball Heroes: Ultimate Mission,3DS,2013.0,Misc,Namco Bandai Games,0.0,0.0,0.29,0.0,0.29,,,,,,,,,,,69.0,31.0,7.5,44.0,--,,,,,,Cartouche,,,
6052,Borderlands: The Pre-Sequel,PC,2014.0,Shooter,Take-Two Interactive,0.11,0.15,0.0,0.03,0.29,,,,,,,,,,,75.0,55.0,6.5,1035.0,15,25,11.4,,,,,,,
6053,Surf's Up,PS2,2007.0,Sports,Ubisoft,0.14,0.11,0.0,0.04,0.29,,,,,,,,,,,60.0,4.0,7.3,4.0,--,2,14.5,7.0,,Jouable en solo Multi en local Multi en coopératif,Online Steam,,anglais,
6054,BlazBlue: Chrono Phantasma,PS3,2013.0,Fighting,Arc System Works,0.13,0.0,0.14,0.02,0.29,,,,,,,,,,,83.0,16.0,7.6,74.0,15,1,20,12.0,,,,,,
6055,Looney Tunes Racing,PS,2000.0,Racing,Infogrames,0.16,0.11,0.0,0.02,0.29,,,,,,,PlayStation,,3.0,Un ou deux joueur(s),71.0,11.0,7.1,11.0,15,12,13.8,3.0,,Jouable en solo,CD Cartouche,français,français,
6056,Final Fantasy X-2: International + Last Mission,PS2,2004.0,Role-Playing,Square Enix,0.0,0.0,0.29,0.0,0.29,,,,,,,,,,,85.0,45.0,7.5,635.0,--,9,15.6,,,Jouable en solo,DVD,,,
6057,Namco Museum Vol.2,PS,1996.0,Misc,Sony Computer Entertainment,0.03,0.02,0.21,0.02,0.29,,,,,,,,,,,61.0,6.0,,,--,,,3.0,,,PlayStation Store CD,,,
6058,Rayman 3: Hoodlum Havoc,PS2,2003.0,Platform,Ubisoft,0.14,0.11,0.0,0.04,0.29,,,,,,,Ubisoft Paris,Multilingue,,Un joueur,76.0,21.0,8.7,94.0,17,83,18.5,7.0,,,,,,
6059,Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles,DS,2008.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.29,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,
6060,Psi-Ops: The Mindgate Conspiracy,PS2,2004.0,Shooter,Midway Games,0.14,0.11,0.0,0.04,0.29,,,,,,,Midway Games,,,"Multijoueur, solo, mode coopératif",84.0,46.0,8.4,46.0,15,22,15,18.0,2.0,,DVD,français,français,2.0
6061,I Spy: Spooky Mansion,Wii,2010.0,Puzzle,Storm City Games,0.27,0.0,0.0,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,
6062,Tomba! 2: The Evil Swine Return,PS,1999.0,Platform,Sony Computer Entertainment,0.16,0.11,0.0,0.02,0.29,,,,,,,Whoopee Camp,,3.0,Un joueur,,,,,16,16,15.7,3.0,,Jouable en solo,PlayStation Store CD,français,français,
6063,SAW,X360,2009.0,Action,Konami Digital Entertainment,0.13,0.12,0.0,0.03,0.29,,,,,,,,,,,59.0,39.0,7.2,62.0,9,100,13.6,18.0,,Jouable en solo,Blu-Ray DVD,anglais,français,
6064,Wappy Dog,DS,2011.0,Simulation,Activision,0.27,0.0,0.0,0.02,0.29,,,,,,,,,,,,,,,9,1,16,3.0,,Jouable en solo,Cartouche,,français,
6065,Dragon Quest: Shounen Yangus to Fushigi no Dungeon,PS2,2006.0,Role-Playing,Square Enix,0.0,0.0,0.29,0.0,0.29,,,,,,Single-player,,,,,89.0,63.0,8.7,382.0,,,,,,,,,,
6066,BeatMania Append 4thMix: The beat goes on,PS,1999.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.27,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,
6067,NASCAR 08,X360,2007.0,Racing,Electronic Arts,0.26,0.0,0.0,0.02,0.29,,,,,,,,,,,59.0,29.0,5.2,30.0,--,3,15.7,3.0,,,Blu-Ray DVD CD,,,
6068,World of Warcraft: Legion,PC,2016.0,Role-Playing,Activision,0.14,0.12,0.0,0.02,0.29,,,,,,,,,,,88.0,62.0,7.6,1489.0,18,56,17.4,,,Multi en ligne,Online CD,français,français,
