,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,developpeur_goo,distributeur_goo,langue_goo,PEGI_goo,game_series_goo,game_mode_goo,developpeur_wiki,langue_wiki,PEGI_wiki,game_mode_wiki,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,langue_parlée_JVC,texte_JVC,nb_joueurs_JVC
74,Mario Party DS,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,,,,,,,,,,,72.0,27.0,7.9,163.0,15,505,16.3,3.0,4.0,,Cartouche,,,4.0
75,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,,,,,,,,,,,96.0,89.0,8.6,4358.0,--,5,17.6,,,,,,,
76,Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,"Nintendo, Nintendo Entertainment Analysis & Development",,,,,"Solo, Multijoueur",Nintendo EAD,Anglais,3.0,1 à 2 joueurs,93.0,24.0,7.8,251.0,18,195,18,3.0,2.0,,Cartouche,anglais,anglais,2.0
77,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,,,,,,,,,,,82.0,42.0,4.4,1039.0,16,422,8.9,,,,,,,
78,Wii Party,Wii,2010.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,,,,3.0,,,Nd Cube,,,Multijoueur,68.0,42.0,7.9,118.0,11,315,15.7,3.0,2.0,,DVD,,,2.0
79,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,,,,,,,,,,,95.0,91.0,8.7,2376.0,18,573,18.4,16.0,,,DVD,français,français,
80,Mario Party 8,Wii,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,,,,,,,,,,,62.0,41.0,6.6,310.0,13,527,14,3.0,4.0,,DVD,,,4.0
81,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,,,,,,,,,,,80.0,56.0,8.1,623.0,,,,,,,,,,
82,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,,,,,,,,,,,88.0,37.0,6.7,401.0,18,1224,15,3.0,,Jouable en solo Multi en ligne Multi en compétitif,Blu-Ray,français,français,
83,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,"Maxis, The Sims Studio, EA Mobile, Edge of Reality, IronMonkey Studios",,,,,Solo,,,,,86.0,75.0,7.8,1223.0,15,20,14.5,12.0,,Jouable en solo,DVD,français,français,
84,GoldenEye 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,,,,,,,,,,,96.0,21.0,9.0,829.0,18,369,18.8,,4.0,,Cartouche,français,anglais,4.0
85,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06,,,,,,,Nintendo SPD (Nintendo),,,Un à quatre joueurs.,67.0,36.0,7.6,130.0,,,,,,,,,,
86,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,,,,,,,SquareSoft,,,Un joueur,92.0,53.0,8.9,1905.0,17,1169,18.4,12.0,,Jouable en solo,DVD,anglais,français,
87,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,Square,,,,,,Square,"Anglais, français, italien, allemand, espagnol",12.0,Un joueur,90.0,24.0,8.7,1198.0,18,109,18.9,12.0,,Jouable en solo,CD PlayStation Store,,français,
88,Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,,,,,,,,,,,83.0,46.0,8.9,1014.0,16,835,17,3.0,,Jouable en solo Multi en local Multi en ligne Multi en compétitif,Cartouche,,français,
89,Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,"Nintendo, Namco, Bandai Namco Entertainment, PLUS",,,,,,Namco,,,Un à deux joueurs (en alternance),75.0,13.0,,,15,4,19.3,3.0,,,Cartouche Google Play Disquette Online Navigateur Internet Console Virtuelle Xbox Live Arcade eShop,anglais,anglais,
90,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,,,,,,,,,,,88.0,65.0,7.7,617.0,17,285,18,18.0,,Jouable en solo Multi en ligne,Contenu Xbox Live PlayStation Store Online,anglais,français,
91,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,,,,,,,Nintendo EAD Tokyo,Multilingue,3.0,1 ou 2 joueurs,97.0,87.0,9.1,2972.0,19,1541,18.4,3.0,2.0,Multi en coopératif,DVD,,,2.0
92,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,,,,,,,,,,,73.0,59.0,5.1,2640.0,,,,,,,,,,
93,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,,,,,,,,,,,83.0,39.0,5.9,1805.0,--,,,,,,,,,
94,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,,,,,,,,,,,99.0,22.0,9.1,7659.0,18,1394,19.3,3.0,,Jouable en solo,Cartouche,français,français,
95,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,,,,Naughty Dog,Multilingue,,Un joueur,66.0,22.0,7.3,328.0,17,16,17,7.0,,Jouable en solo,,,,
96,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,,,,,,,Nintendo R&D4,,3.0,Un joueur,,,,,19,2,17,3.0,,,Online Cartouche eShop Console Virtuelle,,,
97,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,,,,,,,,,,,92.0,77.0,8.9,2111.0,,,,,,,,,,
98,Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,Treyarch; n-Space (DS); Glu Mo...,,,,,,,,,,84.0,84.0,7.7,720.0,11,143,14.5,18.0,,Jouable en solo Multi en ligne Multi en coopératif Multi en compétitif,Online Contenu Xbox Live PlayStation Store,français,français,
99,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,,,,,,,,,,,84.0,57.0,7.5,2225.0,16,3601,17,16.0,,Jouable en solo Multi en ligne Multi en coopératif,Online Contenu Xbox Live Xbox Live Arcade Blu-Ray DVD PlayStation Store,français,français,
100,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,,,,,,,,,,,95.0,73.0,9.0,2294.0,--,4,18.3,,,,,,,
101,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,,,,,,,,,,,81.0,15.0,5.3,872.0,--,,,18.0,,Jouable en solo Multi sur le même écran Multi en local Multi en ligne Multi en coopératif Multi en compétitif,,,,
102,Just Dance,Wii,2009.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,,,,,,,,,,,49.0,21.0,7.8,124.0,10,107,14.5,3.0,4.0,,,,,4.0
103,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,,,,,,,,,,,85.0,38.0,7.5,1893.0,15,3601,17,16.0,24.0,Multi en ligne Multi en coopératif,Blu-Ray,français,français,24.0
104,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,,,,,,,,,,,85.0,33.0,8.6,260.0,14,121,16.7,3.0,2.0,Multi sur le même écran Multi en ligne,DVD,français,français,2.0
105,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,,,,,,,,,,,96.0,15.0,9.1,849.0,18,28,18.1,12.0,,,PlayStation Store CD,,,
106,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,,,,,,,Naughty Dog,Multilingue,,Un joueur,91.0,12.0,9.0,829.0,17,16,17,7.0,,Jouable en solo,,,,
107,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,,,,,,,HAL Laboratory,Multilingue,3.0,1 à 4 joueurs,92.0,38.0,9.1,993.0,15,787,18.7,,1.0,,Nintendo Game Disc,,,1.0
108,Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,,,,,,,,,,,88.0,82.0,8.8,1996.0,16,696,16.9,3.0,,Jouable en solo Multi en local Multi en ligne,iDensity,français,français,
109,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,,,,,,,,,,,87.0,58.0,6.8,6005.0,16,245,16.9,18.0,,,,,,
110,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,,,,,,,,,,,87.0,58.0,8.6,492.0,17,888,18,3.0,4.0,Multi en local,Nintendo Game Disc,français,français,4.0
111,Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,,,,,,,,,,,74.0,10.0,7.7,35.0,15,104,17.5,3.0,4.0,,DVD,français,français,4.0
112,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,,,,,,,,,,,86.0,37.0,4.4,603.0,17,1056,10.3,3.0,,Jouable en solo Multi en local Multi en ligne,Blu-Ray,français,français,
113,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,,,,12.0,,,,,,,82.0,39.0,8.6,232.0,15,205,17.7,3.0,2.0,,DVD,français,français,2.0
114,Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,,,,,,,,,,,88.0,29.0,8.4,199.0,17,199,17.2,12.0,,Jouable en solo,DVD,français,français,
115,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,,,,,,,Naughty Dog,Multilingue,16.0,Un joueurMultijoueur en ligne (10 joueurs) co-op en ligne,92.0,97.0,8.4,5319.0,18,2542,18,16.0,2.0,Multi sur le même écran Multi en ligne,Blu-Ray,français,français,2.0
116,Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,,,,12.0,,,,,,,91.0,12.0,9.0,829.0,18,17,18.2,3.0,,,PlayStation Store Google Play CD,,,
117,Zumba Fitness,Wii,2010.0,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,,,,,,,,,,,,,,,9,18,11.6,3.0,2.0,,DVD,français,français,2.0
118,Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,,,,,,,Epic Games,Multilingue,18.0,"Un joueur, Deux joueurs coopératif, 1 à 10 joueurs en ligne",93.0,90.0,7.9,3354.0,19,1797,18.2,18.0,2.0,,DVD,,,2.0
119,Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,,,,,,,,,,,96.0,105.0,8.8,7796.0,18,160,16.9,16.0,,Jouable en solo,,,,
120,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,Infinity Ward; Aspyr (Mac); Treya...,,,,,,Infinity Ward,Multilingue,16.0,"Un joueur, multijoueur (Internet/LAN, Playstation Network, Xbox Live)",94.0,44.0,8.4,1362.0,16,135,10,,,,,,,
121,FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,,,,,,,,,,,90.0,44.0,7.2,370.0,18,1283,16,3.0,,Jouable en solo Multi sur le même écran Multi en ligne Multi en compétitif,Blu-Ray,français,français,
122,Big Brain Academy,DS,2005.0,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,,,,,,,Nintendo EAD,,,Un joueur,74.0,45.0,7.4,32.0,13,79,15.2,3.0,1.0,,Cartouche,,français,1.0
123,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,,,,,,,,,,,95.0,73.0,8.9,3909.0,18,3483,18.5,18.0,16.0,Jouable en solo Multi en ligne,Blu-Ray,anglais,français,16.0
124,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,,,,,,,EA Canada,Multilingue,3.0,"Solo, Multijoueur En Ligne",82.0,47.0,5.7,1107.0,15,838,9.2,3.0,4.0,Jouable en solo Multi en local Multi en ligne,Blu-Ray,français,français,4.0
125,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,,,,,,,,,,,87.0,77.0,8.6,539.0,18,604,17.8,3.0,2.0,,DVD,français,français,2.0
126,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,,,,,,,,,,,92.0,16.0,6.7,2848.0,--,5,17.6,,,,,,,
127,The Legend of Zelda,NES,1986.0,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,,,,,,,Nintendo R&D4 puis EAD,,,,84.0,16.0,8.4,113.0,19,190,17.8,3.0,,Jouable en solo,Console Virtuelle eShop Cartouche CD,anglais,anglais,
128,Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,,,Multilingue; Mohawk (sous-titré),18.0,,,,,,,85.0,41.0,6.9,1652.0,18,1926,17.1,18.0,,Jouable en solo Multi en ligne,Blu-Ray,français,français,
129,Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,,,,,,,,,,,97.0,68.0,8.7,3014.0,18,212,17.2,16.0,,Multi en ligne,Blu-Ray,français,français,
130,Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,,,,,,,,,,,76.0,28.0,8.9,850.0,,,,,,,,,,
