,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,developpeur_goo,distributeur_goo,langue_goo,PEGI_goo,game_series_goo,game_mode_goo,developpeur_wiki,langue_wiki,PEGI_wiki,game_mode_wiki,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,Langue_JVC
2212,Nickelodeon Fit,Wii,2010.0,Sports,Take-Two Interactive,0.78,0.09,0.0,0.06,0.93,,,,,,,,,,,14,(2),17.5,+3 ans,"oui, alternativement",,DVD,
2213,Buzz! Quiz World,PS3,2009.0,Misc,Sony Computer Entertainment,0.16,0.58,0.0,0.2,0.93,,,,,,,,,,,15,(43),16,+12 ans,jusqu'à 8 joueurs + online,Multi en ligne,Blu-Ray,
2214,Bentley's Hackpack,GBA,2005.0,Misc,,0.67,0.25,0.0,0.02,0.93,,,,,,Single-player,,,,,14,(1),15,+7 ans,,,,
2215,Tony Hawk's Pro Skater 4,XB,2002.0,Sports,Activision,0.59,0.3,0.0,0.04,0.93,,,,,,,,,,,17,(5),18.4,+3 ans,,Multi en local,Cartouche CD DVD Nintendo Game Disc,Voix en français Textes en français Voix en anglais
2216,Borderlands 2,PC,2012.0,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.93,"Gearbox Software, Aspyr",,,,,Multijoueur,,,,,18,(737),17.7,+18 ans,,Multi en ligne,DVD,
2217,EA Sports Grand Slam Tennis,Wii,2009.0,Sports,Electronic Arts,0.29,0.52,0.02,0.11,0.93,,,,,,,,,,,15,(58),12.6,+3 ans,,Multi en ligne,DVD Blu-Ray,Voix en français Textes en français
2218,White Knight Chronicles: International Edition,PS3,2008.0,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93,,,,,,,,,,,no_data,no_data,no_data,,,,,
2219,SSX,PS3,2012.0,Sports,Electronic Arts,0.35,0.42,0.02,0.14,0.93,,,,,,,EA Canada,,3+ ?,1 à 2 joueurs,17,(264),15.1,+3 ans,"oui, en ligne",Multi en ligne,,
2220,Sonic Riders: Zero Gravity,Wii,2008.0,Racing,Sega,0.5,0.32,0.02,0.1,0.93,,,,,,,Sonic Team,Anglais,3+ ?2,Un à quatre joueurs,9,(60),14.7,+3 ans,2 à 4 joueurs,,DVD,Textes en français Voix en anglais
2221,LEGO Jurassic World,PS3,2015.0,Action,Warner Bros. Interactive Entertainment,0.34,0.44,0.0,0.15,0.93,"TT Games, TT Fusion, Feral Interactive",,,,,Multijoueur,,,,,15,(10),16,,,,,
2222,Build-A-Bear Workshop,DS,2007.0,Simulation,Game Factory,0.85,0.01,0.0,0.07,0.93,,,,,,,,,,,6,no_data,no_data,,,,,
2223,Crash City Mayhem,GBA,2004.0,Racing,THQ,0.67,0.25,0.0,0.02,0.93,,,,,,,,,,,--,no_data,no_data,+12 ans,,,,
2224,Spider-Man,2600,1981.0,Action,Parker Bros.,0.87,0.05,0.0,0.01,0.93,,,,,,,,,,,16,(20),17.5,+3 ans,,Jouable en solo,Cartouche CD DVD Nintendo Game Disc,Voix en français Textes en français
2225,Mega Man 4,NES,1991.0,Platform,Capcom,0.51,0.09,0.32,0.01,0.93,,,,,,,Capcom,Anglais,,Un joueur,--,(1),17,+3 ans,,Jouable en solo,CD Console Virtuelle eShop Cartouche,Textes en français
2226,Castlevania II: Simon's Quest,NES,1987.0,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0.0,0.93,,,,,,,,,,,--,(2),16.5,,,,,
2227,Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999.0,Platform,Activision,0.71,0.2,0.0,0.01,0.93,,,,,,,,,,,no_data,no_data,no_data,,,,,
2228,Teenage Mutant Ninja Turtles,GBA,2003.0,Action,Unknown,0.67,0.25,0.0,0.02,0.93,,,,,,,,,,,--,(3),12,+12 ans,,Jouable en solo,eShop Cartouche,Textes en anglais
2229,MLB 07: The Show,PS2,2007.0,Sports,Sony Computer Entertainment,0.77,0.03,0.0,0.13,0.93,,,,,,,,,,,--,(0),--,,,,DVD,
2230,Skylanders: Trap Team,X360,2014.0,Action,Activision,0.54,0.31,0.0,0.08,0.93,,,,,,,,,,,15,(6),16.7,+7 ans,,Jouable en solo,iDensity Blu-Ray DVD Cartouche,Voix en français Textes en français
2231,Cars,GC,2006.0,Racing,THQ,0.72,0.19,0.0,0.03,0.93,,,,,,,,,,,12,(15),14.7,+3 ans,,Jouable en solo,Nintendo Game Disc PlayStation Store UMD DVD Cartouche,Voix en français Textes en français
2232,Brothers in Arms: Hell's Highway,PS3,2008.0,Shooter,Ubisoft,0.44,0.34,0.0,0.15,0.93,,,,,,,Gearbox Software,"Anglais, français, italien, espagnol",18+ ?,"Un joueur, multijoueur",15,(94),15.1,+18 ans,2-20 joueurs online,Multi en ligne,Blu-Ray,
2233,Inazuma Eleven 3,DS,2010.0,Role-Playing,Level 5,0.0,0.0,0.93,0.0,0.93,,,,,Inazuma Eleven Strikers • In...,,Level-5,Texte et voix en français.,7 ?1,"Solo, multijoueur",15,(35),17.7,+7 ans,,,Cartouche,Voix en français Textes en français
2234,Pokken Tournament,WiiU,2016.0,Fighting,Namco Bandai Games,0.47,0.22,0.16,0.07,0.93,,,,,,,Bandai Namco Entertainment,,,"Un joueur, multijoueur",11,(30),13.7,,,Jouable en solo Multi en local Multi en ligne,,
2235,SnoCross Championship Racing,PS,1999.0,Racing,Ubisoft,0.52,0.35,0.0,0.06,0.93,,,,,,,,,,,17,(4),17.5,+3 ans,,Multi sur le même écran,CD GDROM,Voix en français Textes en français
2236,Teenage Mutant Ninja Turtles,PS2,2003.0,Action,Konami Digital Entertainment,0.45,0.35,0.0,0.12,0.92,,,,,,,,,,,--,(3),12,+12 ans,,Jouable en solo,eShop Cartouche,Textes en anglais
2237,Top Gun: Combat Zones,PS2,2001.0,Simulation,Titus,0.45,0.35,0.0,0.12,0.92,,,,,,,Titus Software,,,Solo,8,(1),18,+12 ans,,,Xbox Live Arcade PlayStation Store App Store Online,
2238,Blue Dragon,X360,2006.0,Role-Playing,Microsoft Game Studios,0.3,0.33,0.21,0.08,0.92,"Artoon, Mistwalker, Feelplus, tri-Crescendo, 1-UP Studio, Bandai Namco Entertainment",,,,,,,,,,15,(178),15.5,+12 ans,non,Jouable en solo,DVD,Voix en français Textes en français Voix en anglais
2239,007: The World is not Enough,PS,2000.0,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92,,,,,,,,,,,15,(75),16.5,+3 ans,,Jouable en solo,Cartouche CD,Voix en français Textes en français
2240,NCAA Football 11,X360,2010.0,Sports,Electronic Arts,0.86,0.0,0.0,0.06,0.92,,,,,,,,,,,--,(1),20,,,,Blu-Ray DVD,
2241,NHL 98,PS,1997.0,Sports,Electronic Arts,0.51,0.35,0.0,0.06,0.92,,,,,,,Electronic Arts,,,"Multijoueur, solo",--,(4),14.3,,,,Cartouche CD,
2242,FIFA Street,X360,2012.0,Sports,Electronic Arts,0.17,0.65,0.0,0.1,0.92,,,,3 ans et plus.,,,,,,,15,(118),16.9,+3 ans,,Multi en ligne,Nintendo Game Disc DVD Blu-Ray,Voix en français Textes en français
2243,EA Sports Active 2,PS3,2010.0,Sports,Electronic Arts,0.52,0.28,0.0,0.12,0.92,,,,,,,,,,,9,(6),14.5,+3 ans,"à deux, à condition de posséder deux jeux de capteurs",,Blu-Ray,Voix en français Textes en français
2244,SpongeBob SquarePants: The Yellow Avenger,PSP,2006.0,Action,THQ,0.55,0.21,0.0,0.16,0.92,,,,,,,Tantalus Media,,7+ ?,Solo,no_data,no_data,no_data,,,,,
2245,WWE SmackDown vs. Raw 2009,X360,2008.0,Fighting,THQ,0.58,0.26,0.0,0.08,0.92,,,,,,,,,,,16,(86),16.8,+16 ans,,,Cartouche Blu-Ray UMD DVD,Textes en français Voix en anglais
2246,Dante's Inferno,X360,2010.0,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92,"Electronic Arts, Visceral Games, Behaviour Interactive",,,,,"Solo, Multijoueur",,,,,15,(294),15.7,+16 ans,,Jouable en solo,PlayStation Store Contenu Xbox Live DVD Blu-Ray UMD,Voix en français Textes en français
2247,Wipeout: In The Zone,X360,2011.0,Misc,Activision,0.87,0.0,0.0,0.05,0.92,,,,,,,,,,,--,(3),11.3,,,,DVD,
2248,Space Jam,PS,1996.0,Sports,Acclaim Entertainment,0.51,0.35,0.0,0.06,0.92,,,,,,,,,,,6,no_data,no_data,+3 ans,,Jouable en solo,CD,
2249,Kung Fu Panda,Wii,2008.0,Action,Activision,0.5,0.32,0.0,0.09,0.92,,,,,,,,,,,13,(1),15,+7 ans,,Jouable en solo Multi en local Multi en ligne,,
2250,Knockout Kings 2000,N64,1999.0,Fighting,Electronic Arts,0.63,0.27,0.0,0.02,0.92,,,,,,,Electronic Arts,,,"Un joueur, multijoueur",12,(7),16.6,+3 ans,De 2 à 4 joueurs,,,
2251,Balloon Fight,NES,1985.0,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92,,,,,,,,,,,--,(4),16.8,+3 ans,,,Console Virtuelle Cartouche Online eShop,
2252,Assassin's Creed,PC,2008.0,Adventure,Ubisoft,0.01,0.83,0.0,0.08,0.92,"Ubisoft, Gameloft, Ubisoft Montréal, Ubisoft Québec, PLUS",,,,,,Ubisoft,,,,--,(4),16.5,,,,,
2253,Disney Magical World,3DS,2013.0,Adventure,Nintendo,0.16,0.2,0.53,0.03,0.92,,,,3 ans et plus | 2021 | de Bandai Namco Entertainment.,,,h.a.n.d.,,,Solo,14,(13),16.5,+7 ans,2 joueurs,Jouable en solo Multi en local,Cartouche,Voix en français Textes en français
2254,Crysis 3,X360,2013.0,Shooter,Electronic Arts,0.51,0.33,0.01,0.08,0.92,,,,,,,Crytek Frankfurt,Multilingue,16 ?,"Un joueur, multijoueur",14,(186),14.4,+16 ans,,Jouable en solo Multi en ligne,,
2255,Lego Batman 3: Beyond Gotham,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.37,0.39,0.0,0.15,0.92,,,,,,,,,,,15,(8),14.4,+7 ans,,Jouable en solo Multi en local Multi en coopératif,Blu-Ray,Voix en français Textes en français
2256,Dynasty Warriors 7,PS3,2011.0,Action,Tecmo Koei,0.25,0.14,0.46,0.06,0.92,,,,,,,Omega Force,Multilingue,16 ?,Un à deux joueurs,13,(104),16.4,+16 ans,2 en écran splitté ou online,Multi sur le même écran Multi en ligne,Blu-Ray,Textes en français Voix en anglais
2257,The Evil Within,PS3,2014.0,Action,Bethesda Softworks,0.26,0.39,0.12,0.14,0.92,Tango Gameworks,,,,,,Tango Gameworks,Multilingue,,Un joueur,16,(85),15.4,+18 ans,,Jouable en solo,Blu-Ray,Voix en français Textes en français
2258,MLB 12: The Show,PS3,2012.0,Sports,Sony Computer Entertainment,0.86,0.0,0.0,0.06,0.92,,,,,,,,,,,--,(0),--,,,,,
2259,Sonic Riders,GC,2006.0,Racing,Sega,0.71,0.18,0.0,0.03,0.92,,,,,,,,,,,10,(6),17.3,+3 ans,,Multi sur le même écran,DVD Nintendo Game Disc,Textes en français Voix en anglais Voix en japonais
2260,Starsky & Hutch,PS2,2003.0,Racing,Empire Interactive,0.45,0.35,0.0,0.12,0.92,,,,,,,,,,,no_data,no_data,no_data,,,,,
2261,Tobal No.1,PS,1996.0,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.92,,,,,,,,,,,no_data,no_data,no_data,,,,,
2262,Lost Odyssey,X360,2007.0,Role-Playing,Microsoft Game Studios,0.45,0.27,0.11,0.09,0.92,,,,,,,,,,,11,(534),17.1,+16 ans,Non,Jouable en solo,DVD,Voix en français Textes en français Voix en anglais Textes en anglais Voix en japonais Textes en japonais
2263,MLB 15: The Show,PS4,2015.0,Sports,Sony Computer Entertainment,0.67,0.08,0.0,0.17,0.92,,,,,,,,,,,--,no_data,no_data,,,Jouable en solo Multi en local Multi en ligne,PlayStation Store Blu-Ray,
2264,Operation Flashpoint: Dragon Rising,PS3,2009.0,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.92,,,,,,,,,,,14,(88),14.6,+18 ans,"2-4 en coop, 2-8 en Versus",Multi en coopératif Multi en compétitif,Blu-Ray,
2265,Homefront,PS3,2011.0,Shooter,THQ,0.32,0.4,0.04,0.15,0.91,,,,,,,,,,,11,(302),12,+18 ans,Jusqu'à 32 joueurs en ligne,Multi en ligne,Blu-Ray,
2266,AMF Bowling Pinbusters!,Wii,2007.0,Sports,Bethesda Softworks,0.85,0.0,0.0,0.07,0.91,,,,,,,,,,,6,(2),14,+3 ans,2 à 4 joueurs,,DVD,Voix en français Textes en français
2267,Street Hoops,PS2,2002.0,Sports,Activision,0.45,0.35,0.0,0.12,0.91,,,,,,,,,,,14,(10),14.8,+3 ans,2 à 8 joueurs,,DVD,Voix en anglais Textes en anglais
2268,Avatar: The Game,PS3,2009.0,Action,Ubisoft,0.32,0.43,0.0,0.16,0.91,,,,,,,,,,,--,no_data,no_data,+3 ans,,,,
2269,Harvest Moon 3D: A New Beginning,3DS,2012.0,Action,Marvelous Entertainment,0.41,0.17,0.29,0.05,0.91,,,,,,,Marvelous,,,Solo,16,(13),18,+3 ans,"Oui, jusqu'à 4 en local ou en ligne",Multi en ligne,eShop,Voix en anglais Textes en anglais
2270,Tom Clancy's EndWar,X360,2008.0,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91,,,,,,,Ubisoft Shanghai,Anglais,16+ ?,"Multijoueur, solo",17,(77),16.4,+12 ans,,Multi en ligne,,
2271,Knockout Kings 2002,PS2,2002.0,Sports,Electronic Arts,0.45,0.35,0.0,0.12,0.91,,,,,,,Black Ops Entertainment,,,,15,(11),13.6,+3 ans,2 joueurs,,CD,Textes en français Voix en anglais
2272,Tokyo Xtreme Racer 3,PS2,2003.0,Racing,Genki,0.35,0.27,0.21,0.09,0.91,,,,,,"Single Player, Multiplayer",,,,,7,(8),16,+3 ans,2 joueurs,,DVD,Voix en français Textes en français
2273,LEGO Indiana Jones 2: The Adventure Continues,PS3,2009.0,Action,Activision,0.47,0.3,0.0,0.13,0.91,,,,ages_7_and_over · Editeur : Disney · Date de sortie : 2013-11-07 ...,,,Traveller's Tales,"Anglais, français, italien, allemand, espagnol",7 ?,Un ou deux joueurs,13,(25),15.5,+7 ans,mode 2 joueurs en coopération,Multi en coopératif,,
2274,Colin McRae Rally 2.0,PS,2000.0,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91,,,,,,,,,,,18,(114),18.1,+3 ans,,Multi sur le même écran,GDROM Cartouche CD,Voix en français Textes en français
2275,Glover,N64,1998.0,Platform,Hasbro Interactive,0.72,0.17,0.0,0.01,0.91,,,,,,,,,,,12,(29),15,+3 ans,Non,Jouable en solo,Cartouche,Voix en français Textes en français
2276,MX vs. ATV Reflex,PS3,2009.0,Racing,THQ,0.52,0.26,0.0,0.12,0.91,,,,,,,Rainbow Studios,"Anglais, français, allemand, italien, espagnol",,"Solo, multijoueur",11,(83),16.2,+3 ans,2 joueurs hors ligne et jusqu'à 12 joueurs en ligne,Multi en ligne,Blu-Ray,Voix en français Textes en français
2277,Minecraft: Story Mode,X360,2015.0,Adventure,Mojang,0.46,0.38,0.0,0.08,0.91,,,,12 ans et plus. 3.7 ...,,SAISON 1 - FILM JEU ...,,,,,--,no_data,no_data,,,Jouable en solo,,
2278,Namco Museum,XB,,Misc,Unknown,0.77,0.11,0.0,0.04,0.91,,,,,,,,,,,--,(1),10,,,,,
2279,Marvel: Ultimate Alliance 2,X360,2009.0,Role-Playing,Activision,0.68,0.15,0.0,0.08,0.91,,,,12 ans et plus. Aucun commentaire. Xbox 360. Actuellement indisponible.,,,,,,,14,(3),14.7,+12 ans,,Multi en ligne Multi en coopératif,Contenu Xbox Live PlayStation Store DVD Cartouche Blu-Ray UMD,Voix en français Textes en français Voix en anglais Textes en anglais
2280,Call of Duty: World at War,DS,2008.0,Shooter,Activision,0.57,0.26,0.0,0.08,0.91,Treyarch; n-Space (DS); Glu Mo...,,,,,,,,,,11,(143),14.5,+18 ans,,Jouable en solo Multi en ligne Multi en coopératif Multi en compétitif,Online Contenu Xbox Live PlayStation Store,Voix en français Textes en français
2281,Super Momotarou Dentetsu III,SNES,1994.0,Simulation,Hudson Soft,0.0,0.0,0.91,0.0,0.91,,,,,,,,,,,no_data,no_data,no_data,,,,,
2282,Sonic Mega Collection Plus,XB,2004.0,Misc,Sega,0.61,0.26,0.0,0.04,0.91,,,,,,,,,,,11,(39),16.5,+3 ans,,Multi sur le même écran,CD DVD,Textes en français
2283,DJ Hero,PS3,2009.0,Misc,Activision,0.42,0.34,0.0,0.14,0.91,,,,,,,,,,,17,(80),16,+3 ans,"2 joueurs, en local ou en ligne",Multi en ligne,Blu-Ray,Voix en français Textes en français
2284,Dragon Age: Inquisition,XOne,2014.0,Role-Playing,Electronic Arts,0.55,0.28,0.0,0.07,0.91,,,,,,,,,,,15,(7),15,+18 ans,,Jouable en solo Multi en ligne,,Voix en français Textes en français
