,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,developpeur_goo,distributeur_goo,langue_goo,PEGI_goo,game_series_goo,game_mode_goo,developpeur_wiki,langue_wiki,PEGI_wiki,game_mode_wiki,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,Langue_JVC
2285,The Simpsons Game,PS3,2007.0,Action,Electronic Arts,0.38,0.37,0.0,0.15,0.91,,,,,,,Griptonite Games (DS),Allemand,12 ?3,Un joueur et multijoueur coopératif,--,(8),13.3,,,,,
2286,Tiger Woods PGA Tour 2002,PS2,2002.0,Sports,Electronic Arts,0.44,0.35,0.0,0.12,0.9,,,,,,,,,,,15,(4),18,+3 ans,2 à 4 joueurs,,CD,Textes en français Voix en anglais
2287,Rhythm Heaven,Wii,,Misc,Unknown,0.13,0.0,0.77,0.01,0.9,"Nintendo, Nintendo Software Planning & Development",,,,,Solo,,,,,17,(61),17.6,+7 ans,mode 2 joueurs,,DVD,Textes en français Voix en anglais Voix en japonais
2288,Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996.0,Racing,ASCII Entertainment,0.0,0.0,0.9,0.0,0.9,,,,,,,,,,,no_data,no_data,no_data,,,,,
2289,MLB 2005,PS2,2004.0,Sports,Sony Computer Entertainment,0.44,0.35,0.0,0.12,0.9,,,,,,,,,,,--,(0),--,+3 ans,,,DVD,
2290,SOCOM 4: U.S. Navy SEALs,PS3,2011.0,Shooter,Sony Computer Entertainment,0.66,0.12,0.04,0.08,0.9,,,Anglais · Dimensions du produit (L x l x h) : 1.52 x 13.46 x 17.02 cm; ...,,,,,,,,15,(72),14.5,+16 ans,"32 joueurs en compétitif, 5 en coop",Multi en coopératif Multi en compétitif,Blu-Ray,Voix en français Textes en français
2291,Burnout Revenge,PS2,2005.0,Racing,Electronic Arts,0.75,0.03,0.0,0.12,0.9,,,,,,,,,,,17,(146),17,+3 ans,2 à 6 joueurs,,DVD,Voix en français Textes en français
2292,Buzz! Quiz TV,PS3,2008.0,Misc,Sony Computer Entertainment,0.28,0.48,0.0,0.14,0.9,,,,,,,Relentless Software,,,"Multijoueur, solo",14,(49),15.4,+12 ans,1 à 8 joueurs offline et online,Multi en ligne,Blu-Ray,
2293,We Ski & Snowboard,Wii,2008.0,Sports,Atari,0.38,0.29,0.15,0.08,0.9,Bandai Namco Entertainment,,,,We Ski,Multijoueur,,,,,no_data,no_data,no_data,,,,,
2294,Destruction Derby,PS,1995.0,Racing,Psygnosis,0.5,0.34,0.0,0.06,0.9,,,,,,,,,,,14,(2),19,,,,,
2295,TouchMaster 2,DS,2008.0,Puzzle,Midway Games,0.3,0.49,0.0,0.1,0.9,,,,,,,,,,,--,(1),17,+12 ans,2 joueurs,,,
2296,Crysis 3,PS3,2013.0,Shooter,Electronic Arts,0.26,0.43,0.03,0.18,0.9,,,,,,,Crytek Frankfurt,Multilingue,16 ?,"Un joueur, multijoueur",13,(269),14.3,+16 ans,jusqu'à 12 joueurs en ligne,Jouable en solo Multi en ligne,,
2297,3Xtreme,PS,1999.0,Action,989 Studios,0.5,0.34,0.0,0.06,0.9,,,,,,,989 Studios,,,Un à deux joueur(s),--,(1),19,,,Jouable en solo,CD,
2298,Hot Shots Tennis,PS2,2006.0,Sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9,Clap Hanz,,,,Everybody's Golf,Multijoueur,,,,,no_data,no_data,no_data,,,,,
2299,Sonic Heroes,XB,2003.0,Platform,Sega,0.41,0.43,0.01,0.05,0.9,,,,,,,,,,,14,(68),16.8,+3 ans,,,CD Nintendo Game Disc DVD PlayStation Store,Voix en français Textes en français Voix en anglais
2300,Resistance: Retribution,PSP,2009.0,Shooter,Sony Computer Entertainment,0.27,0.36,0.05,0.22,0.9,,,,,,,,,,,14,(188),16.8,+16 ans,2 à 8 joueurs,,UMD,Voix en français Textes en français
2301,Tiger Woods PGA Tour 12: The Masters,PS3,2011.0,Sports,Electronic Arts,0.52,0.26,0.0,0.12,0.9,,,,,,,,,,,14,(7),13.9,+3 ans,Jusqu'à 4 joueurs hors ligne ou en ligne,Multi en ligne,Blu-Ray,Voix en anglais Textes en anglais
2302,Star Wars: The Force Unleashed,DS,2008.0,Action,LucasArts,0.51,0.29,0.0,0.09,0.9,,,,,,,LucasArts,"Anglais, français, allemand, italien, espagnol",16+ ?,"Un joueur, Multijoueur Version Wii",--,(14),16.1,+16 ans,,,,
2303,Madden NFL 99,N64,1998.0,Sports,Electronic Arts,0.84,0.05,0.0,0.01,0.9,,,,,,,EA Tiburon,,,"Un joueur, multijoueur",--,no_data,no_data,+3 ans,,,Cartouche,
2304,Spider-Man 3,PS2,2007.0,Platform,Activision,0.74,0.03,0.01,0.12,0.9,,,,,,,,,,,10,(131),12.5,+12 ans,Non,Jouable en solo,,
2305,James Bond 007: Agent Under Fire,XB,2002.0,Shooter,Electronic Arts,0.65,0.22,0.0,0.03,0.9,,,,,,,EA Redwood Shores (PS2),Français (textes et voix)1,12+ ?,"Un joueur, multijoueur",14,(20),16.6,+12 ans,,,Nintendo Game Disc DVD,Voix en français Textes en français
2306,Samba De Amigo,Wii,2008.0,Misc,Sega,0.42,0.37,0.01,0.1,0.9,,,,,,,,,,,13,(26),15.5,+3 ans,2 joueurs,,DVD,
2307,The Elder Scrolls Online,PC,2014.0,Role-Playing,Bethesda Softworks,0.32,0.48,0.0,0.09,0.9,ZeniMax Online Studios,,,,,Multijoueur,ZeniMax Online Studios,Multilingue,,Multijoueur,--,(0),--,,,,,
2308,Pure,PS3,2008.0,Racing,Disney Interactive Studios,0.42,0.33,0.0,0.14,0.9,,,,,,,,,,,16,(108),16.4,+3 ans,Jusqu'à 16 joueurs en ligne,Multi en ligne,Blu-Ray,
2309,FIFA Soccer 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.29,0.52,0.0,0.09,0.9,,,,,,,,,,,no_data,no_data,no_data,,,,,
2310,Fossil Fighters,DS,2008.0,Role-Playing,Nintendo,0.84,0.0,0.0,0.06,0.9,,,,,,,,,,,--,(3),19.7,,Uniquement en solo,Jouable en solo,Cartouche,
2311,LittleBigPlanet Karting,PS3,2012.0,Action,Sony Computer Entertainment,0.42,0.32,0.01,0.15,0.9,,,,,,,,,,,15,(139),15.6,+7 ans,Jusqu'à 4 joueurs en écran splitté et 8 joueurs en ligne,Multi sur le même écran Multi en ligne,Blu-Ray,Voix en français Textes en français
2312,X-Men Legends,XB,2004.0,Role-Playing,Activision,0.62,0.24,0.0,0.04,0.9,,,,,,,,,,,12,(26),16.7,+12 ans,,,CD Nintendo Game Disc DVD Cartouche,Textes en français Voix en anglais
2313,NBA Live 2005,XB,2004.0,Sports,Electronic Arts,0.81,0.05,0.0,0.04,0.9,,,,,,,EA Canada,,3+ ?,"Un joueur, multijoueur",16,(36),18.1,+3 ans,,Multi en local Multi en ligne,UMD DVD Cartouche CD Nintendo Game Disc,Voix en français Textes en français Voix en anglais
2314,Harry Potter: Quidditch World Cup,PS2,2003.0,Sports,Electronic Arts,0.44,0.34,0.0,0.11,0.9,,,,,,,,,,,13,(59),14.5,+3 ans,2 joueurs,,,
2315,The Biggest Loser: Ultimate Workout,X360,2010.0,Sports,THQ,0.73,0.1,0.0,0.06,0.9,,,,,,,,,,,--,(0),--,,,,DVD,
2316,Madagascar,GBA,2005.0,Platform,Activision,0.62,0.24,0.0,0.03,0.89,,,,,,,,,,,9,(11),14.6,+3 ans,Non,Jouable en solo,,
2317,Call of Juarez: Bound in Blood,PS3,2009.0,Shooter,Ubisoft,0.35,0.38,0.01,0.16,0.89,,,,,,,Techland,Anglais,16 ?,Solo et multijoueur,15,(110),15.5,+16 ans,2-12,,,
2318,Killzone: Liberation,PSP,2006.0,Shooter,Sony Computer Entertainment,0.44,0.28,0.0,0.18,0.89,,,,,,,Guerrilla Games,Multilingue,16+ ?,"Un joueur, multijoueur",16,(151),16.6,+16 ans,2 à 6 joueurs,,UMD,Voix en français Textes en français
2319,Madden NFL 08,Wii,2007.0,Sports,Electronic Arts,0.82,0.01,0.0,0.07,0.89,,,,,,,EA Tiburon,,,Solo et multijoueur,--,(7),9.3,+3 ans,,,DVD,
2320,Blitz: The League,PS2,2005.0,Sports,Unknown,0.74,0.03,0.0,0.12,0.89,"Midway Games, Point of View",,,,,Multijoueur,,,,,--,(14),16.4,,,,,
