,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,description_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,Langue_JVC
38,7305,One Piece: Pirate Warriors 3,PSV,2015.0,Action,Namco Bandai Games,0.0,0.07,0.13,0.02,0.22,13,(6),16.5,"Editeur(s) / Développeur(s) Bandai Namco OMEGA Force Bandai Namco Entertainment Tecmo Koei
Sortie France 28 août 2015
Genre(s) Beat'em All
Web Site officiel
Modèle(s) économique(s) Payant à l'acquisition
Support(s) Online Blu-Ray New Game Media
Date de sortie (au Japon) 26 mars 2015",,,,Online Blu-Ray New Game Media,
39,7306,Herdy Gerdy,PS2,2002.0,Adventure,Eidos Interactive,0.11,0.08,0.0,0.03,0.22,15,(26),12.6,"Editeur(s) / Développeur(s) Eidos Interactive Core Design
Sortie France 22 févr. 2002
Genre(s) Plate-Forme Aventure
Classification +3 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs Non
Support(s) DVD
Langue de la version disponible en France Voix en français Textes en français",+3 ans,Non,Jouable en solo,DVD,Voix en français Textes en français
40,7307,Armored Core V,X360,2012.0,Simulation,Namco Bandai Games,0.13,0.03,0.04,0.01,0.22,14,(20),15.6,"Editeur(s) / Développeur(s) Bandai Namco From Software
Sortie France 23 mars 2012
Arrêt définitif des serveurs 20 mars 2014
Genre(s) Action
Classification +12 ans
Mode(s) Multi en ligne
Web Site officiel
Support(s) Blu-Ray DVD
Date de sortie (aux Etats-Unis) 2012
Date de sortie (au Japon) 26 janvier 2012",+12 ans,,Multi en ligne,Blu-Ray DVD,
41,7308,EVE Online,PC,2003.0,Role-Playing,CCP,0.0,0.19,0.0,0.02,0.22,18,(124),16.6,"Editeur(s) / Développeur(s) CCP
Sortie France 06 mai 2003
Genre(s) MMORPG Sandbox
Thème(s) Science-Fiction
Classification +12 ans
Mode(s) Multi en ligne Multi en coopératif Multi en compétitif
Web Site officiel
Modèle(s) économique(s) Abonnement Options payantes Payant à l'acquisition
Support(s) Online
Langue de la version disponible en France Textes en français Voix en anglais Textes en anglais
Configuration minimale Windows XP / Vista / 7 Intel Pentium ou AMD 1 GHz 1 Go de RAM Carte 3D 64 Mo avec support Shader Model 2.0 (classe GeForce FX 5 ou ATi 9500, ATi X300) Modem 56k
Configuration conseillée Windows XP/Vista/7 ; Intel Pentium ou AMD 2 GHz ; 2 Go de RAM ; Carte 3D 256 Mo avec support Shader Model 2.0 (classe GeForce 8 ou ATi 3000) ; Connexion internet haut débit
Espace nécessaire pour l'installation 6 Go",+12 ans,,Multi en ligne Multi en coopératif Multi en compétitif,Online,Textes en français Voix en anglais Textes en anglais
42,7309,Digimon World Re:Digitize,PSP,2012.0,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,--,(8),16.5,"Editeur(s) / Développeur(s) Bandai Namco Tri Crescendo
Sortie France 2012
Genre(s) RPG Action
Support(s) UMD",,,,,
43,7310,Ninja Gaiden: Dragon Sword,DS,2008.0,Action,Tecmo Koei,0.17,0.02,0.02,0.02,0.22,14,(58),16.3,"Editeur(s) / Développeur(s) Team Ninja Tecmo
Sortie France 27 juin 2008
Genre(s) Aventure Action
Classification +16 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs non
Web Site officiel
Support(s) Cartouche",+16 ans,non,Jouable en solo,,
44,7311,Ride,PS4,2015.0,Racing,Milestone S.r.l.,0.03,0.13,0.03,0.03,0.22,no_data,no_data,no_data,no_data,,,,,
45,7312,Blue Dragon Plus,DS,2008.0,Role-Playing,Ignition Entertainment,0.12,0.04,0.05,0.01,0.22,11,(13),14.6,"Editeur(s) / Développeur(s) Brownie Brown Ignition Entertainment
Sortie France 27 mars 2009
Genre(s) RPG Stratégie
Classification +7 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs non
Web Site officiel
Support(s) Cartouche
Date de sortie (aux Etats-Unis) mars 2009
Date de sortie (au Japon) 04 septembre 2008
Langue de la version disponible en France Voix en français Textes en français",+7 ans,non,Jouable en solo,Cartouche,Voix en français Textes en français
46,7313,Lords of the Fallen,XOne,2014.0,Role-Playing,Square Enix,0.1,0.1,0.0,0.02,0.22,14,(22),14.5,"Editeur(s) / Développeur(s) Deck13 CI Games
Sortie France 31 oct. 2014
Genre(s) RPG Action
Thème(s) Heroic Fantasy
Classification +16 ans
Mode(s) Jouable en solo
Modèle(s) économique(s) Payant à l'acquisition
Support(s) Contenu Xbox Live Blu-Ray App Store Online Google Play DVD PlayStation Store
Langue de la version disponible en France Voix en français Textes en français",+16 ans,,Jouable en solo,Contenu Xbox Live Blu-Ray App Store Online Google Play DVD PlayStation Store,Voix en français Textes en français
47,7314,NBA in the Zone 2000,PS,2000.0,Sports,Konami Digital Entertainment,0.12,0.08,0.0,0.01,0.21,--,no_data,no_data,"Editeur(s) / Développeur(s) Konami
Sortie France 2000
Genre(s) Sport
Classification +3 ans
Support(s) Cartouche CD
Date de sortie (aux Etats-Unis) 2000",+3 ans,,,Cartouche CD,
