,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,description_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,Langue_JVC
863,1903,NCAA Football 13,X360,2012.0,Action,Electronic Arts,1.02,0.0,0.0,0.06,1.08,--,(3),16.7,"Editeur(s) / Développeur(s) EA Sports Electronic Arts
Sortie France Date de sortie inconnue
Genre(s) Sport
Classification +3 ans
Support(s) Blu-Ray DVD
Date de sortie (aux Etats-Unis) 10 juillet 2012",+3 ans,,,Blu-Ray DVD,
864,1904,Grand Theft Auto: Chinatown Wars,PSP,2009.0,Action,Take-Two Interactive,0.28,0.5,0.03,0.28,1.08,18,(233),15.3,"Editeur(s) / Développeur(s) Rockstar Games
Sortie France 23 oct. 2009
Genre(s) Action
Classification +18 ans
Mode(s) Multi en ligne
Nombre maximum de joueurs 2 joueurs en ligne ou en wi-fi
Web Site officiel
Support(s) UMD
Date de sortie (aux Etats-Unis) 20 octobre 2009
Langue de la version disponible en France Voix en français Textes en français",+18 ans,2 joueurs en ligne ou en wi-fi,Multi en ligne,UMD,Voix en français Textes en français
865,1905,FIFA Soccer 11,Wii,2010.0,Sports,Electronic Arts,0.26,0.69,0.0,0.12,1.08,no_data,no_data,no_data,no_data,,,,,
866,1906,The Orange Box,PS3,2007.0,Shooter,Electronic Arts,0.28,0.59,0.0,0.22,1.08,18,(89),17.2,"Editeur(s) / Développeur(s) Valve
Sortie France 17 janv. 2008
Genre(s) Compilation FPS
Classification +16 ans
Support(s) Blu-Ray
Date de sortie (aux Etats-Unis) 11 décembre 2007",+16 ans,,,Blu-Ray,
867,1907,Joust,2600,1982.0,Platform,Atari,1.01,0.06,0.0,0.01,1.08,12,(1),16,"Editeur(s) / Développeur(s) Atari Midway Williams Entertainment Shadowsoft Williams Electronics Hal America Inc. Digital Eclipse
Sortie France 1986
Genre(s) Action Plate-Forme Stratégie
Classification +3 ans
Support(s) CD PlayStation Store Cartouche Disquette Xbox Live Arcade
Date de sortie (aux Etats-Unis) 1986
Langue de la version disponible en France Voix en anglais Textes en anglais",+3 ans,,,CD PlayStation Store Cartouche Disquette Xbox Live Arcade,Voix en anglais Textes en anglais
868,1908,Tomb Raider: Underworld,X360,2008.0,Action,Eidos Interactive,0.53,0.43,0.01,0.11,1.08,15,(127),16.3,"Editeur(s) / Développeur(s) Crystal Dynamics
Sortie France 31 mars 2011
Genre(s) Action Plate-Forme
Classification +16 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs Non
Support(s) Blu-Ray
Date de sortie (aux Etats-Unis) 22 mars 2011
Langue de la version disponible en France Voix en français Textes en français",+16 ans,Non,Jouable en solo,Blu-Ray,Voix en français Textes en français
869,1909,Tom Clancy's Ghost Recon 2,PS2,2004.0,Shooter,Ubisoft,0.64,0.34,0.0,0.1,1.08,9,(23),13,"Editeur(s) / Développeur(s) Ubisoft
Sortie France 30 mars 2006
Genre(s) Tactique Action
Classification +12 ans
Nombre maximum de joueurs 2 à 8 joueurs
Support(s) DVD
Langue de la version disponible en France Voix en français Textes en français",+12 ans,2 à 8 joueurs,,DVD,Voix en français Textes en français
870,1910,DiRT 3,PS3,2011.0,Racing,Codemasters,0.27,0.59,0.01,0.21,1.08,15,(190),15.5,"Editeur(s) / Développeur(s) Codemasters
Sortie France 24 mai 2011
Genre(s) Course
Classification +12 ans
Mode(s) Multi sur le même écran Multi en ligne
Nombre maximum de joueurs 2 joueurs en écran splitté et jusqu'à 8 en ligne
Web Site officiel
Support(s) Blu-Ray
Langue de la version disponible en France Voix en français Textes en français",+12 ans,2 joueurs en écran splitté et jusqu'à 8 en ligne,Multi sur le même écran Multi en ligne,Blu-Ray,Voix en français Textes en français
871,1911,LEGO City Undercover,WiiU,2013.0,Platform,Nintendo,0.47,0.4,0.13,0.08,1.08,15,(121),16.7,"Editeur(s) / Développeur(s) TT Games Nintendo
Sortie France 28 mars 2013
Genre(s) Action
Classification +3 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs 1
Web Site officiel
Support(s) iDensity
Date de sortie (aux Etats-Unis) 18 mars 2013
Langue de la version disponible en France Voix en français Textes en français
Configuration minimale Wii U Premium si vous optez pour la version eShop, qui pèse 22 Go",+3 ans,1,Jouable en solo,iDensity,Voix en français Textes en français
872,1912,Spore Creatures,DS,2008.0,Simulation,Electronic Arts,0.67,0.3,0.0,0.11,1.08,15,(49),12.6,"Editeur(s) / Développeur(s) Maxis Electronic Arts
Sortie France 04 sept. 2008
Genre(s) Gestion God Game Simulation
Classification +12 ans
Mode(s) Jouable en solo Multi en ligne
Nombre maximum de joueurs Possibilité d'échanger des créatures en local ou en ligne
Web Site officiel
Modèle(s) économique(s) Payant à l'acquisition
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 05 septembre 2008
Langue de la version disponible en France Voix en français Textes en français",+12 ans,Possibilité d'échanger des créatures en local ou en ligne,Jouable en solo Multi en ligne,Cartouche,Voix en français Textes en français
873,1913,Ready 2 Rumble Boxing,PS,1998.0,Sports,Midway Games,0.6,0.41,0.0,0.07,1.08,18,(10),16.9,"Editeur(s) / Développeur(s) Point of View Midway
Sortie France 14 oct. 1999
Genre(s) Sport Combat
Classification +3 ans
Mode(s) Jouable en solo
Support(s) GDROM Cartouche CD
Date de sortie (aux Etats-Unis) 08 septembre 1999
Date de sortie (au Japon) 13 janvier 2000
Langue de la version disponible en France Voix en français Textes en français Voix en anglais",+3 ans,,Jouable en solo,GDROM Cartouche CD,Voix en français Textes en français Voix en anglais
874,1914,Dragon Ball Z: Taiketsu,GBA,2003.0,Fighting,Atari,0.77,0.29,0.0,0.02,1.08,4,(42),6.8,"Editeur(s) / Développeur(s) Webfoot Atari
Sortie France 12 mars 2004
Genre(s) Combat
Classification +7 ans
Nombre maximum de joueurs 2 joueurs
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 28 novembre 2003
Langue de la version disponible en France Voix en français Textes en français",+7 ans,2 joueurs,,Cartouche,Voix en français Textes en français
875,1915,Disney's Lilo & Stitch,GBA,2002.0,Platform,Ubisoft,0.77,0.29,0.0,0.02,1.08,no_data,no_data,no_data,no_data,,,,,
876,1916,Star Fox: Assault,GC,2005.0,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08,14,(120),15.9,"Editeur(s) / Développeur(s) Nintendo Namco
Sortie France 29 avr. 2005
Genre(s) Shoot'em Up Action
Classification +3 ans
Nombre maximum de joueurs 2 à 4 joueurs
Support(s) Nintendo Game Disc
Langue de la version disponible en France Voix en anglais Textes en anglais",+3 ans,2 à 4 joueurs,,Nintendo Game Disc,Voix en anglais Textes en anglais
877,1917,Naruto: Ultimate Ninja Storm,PS3,2008.0,Fighting,Namco Bandai Games,0.49,0.35,0.09,0.16,1.08,--,(0),--,"Editeur(s) / Développeur(s) CyberConnect2 Bandai Namco
Sortie France 2023
Genre(s) Combat
Classification +12 ans",,,,,
878,1918,Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011.0,Fighting,Capcom,0.79,0.18,0.03,0.07,1.08,17,(166),16.2,"Editeur(s) / Développeur(s) Capcom
Sortie France 18 févr. 2011
Genre(s) Combat
Classification +12 ans
Mode(s) Multi en ligne
Web Site officiel
Support(s) DVD PlayStation Store New Game Media Blu-Ray
Langue de la version disponible en France Textes en français Voix en anglais",+12 ans,,Multi en ligne,DVD PlayStation Store New Game Media Blu-Ray,Textes en français Voix en anglais
879,1919,NCAA Football 14,X360,2013.0,Sports,Electronic Arts,1.01,0.0,0.0,0.06,1.07,--,(3),16.3,"Editeur(s) / Développeur(s) Electronic Arts
Sortie France Date de sortie inconnue
Genre(s) Sport
Support(s) Blu-Ray DVD
Date de sortie (aux Etats-Unis) 19 juillet 2013",,,,Blu-Ray DVD,
880,1920,Doko Demo Issyo,PS,1999.0,Misc,Sony Computer Entertainment,0.0,0.0,1.0,0.07,1.07,no_data,no_data,no_data,no_data,,,,,
881,1921,Call of Duty 3,PS2,2006.0,Shooter,Activision,0.89,0.03,0.0,0.15,1.07,14,(159),16.3,"Editeur(s) / Développeur(s) Treyarch Activision
Sortie France 24 nov. 2006
Genre(s) FPS Action
Classification +16 ans
Nombre maximum de joueurs 2 à 16 joueurs
Support(s) DVD
Date de sortie (aux Etats-Unis) 07 novembre 2006
Langue de la version disponible en France Voix en français Textes en français",+16 ans,2 à 16 joueurs,,DVD,Voix en français Textes en français
882,1922,Imagine: Fashion Designer New York,DS,2008.0,Simulation,Ubisoft,0.65,0.32,0.0,0.1,1.07,--,(4),19.3,"Editeur(s) / Développeur(s) Ubisoft Lexis Numérique
Sortie France oct. 2008
Genre(s) Autres
Support(s) Cartouche",,,,,
883,1923,Red Dead Redemption: Undead Nightmare,X360,2010.0,Action,Take-Two Interactive,0.57,0.39,0.02,0.09,1.07,16,(417),17.1,"Editeur(s) / Développeur(s) Rockstar Games Take-Two Interactive
Sortie France 26 oct. 2010
Genre(s) Action
Thème(s) Western Zombies
Classification +18 ans
Mode(s) Multi en ligne
Modèle(s) économique(s) Payant à l'acquisition
Support(s) Blu-Ray DVD
Langue de la version disponible en France Voix en français Textes en français",+18 ans,,Multi en ligne,Blu-Ray DVD,Voix en français Textes en français
884,1924,Bully: Scholarship Edition,X360,2008.0,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,1.07,16,(179),17.9,"Editeur(s) / Développeur(s) Rockstar Games Take-Two Interactive
Sortie France 07 mars 2008
Genre(s) Action
Thème(s) Contemporain
Classification +16 ans
Mode(s) Jouable en solo Multi en local Multi en coopératif
Web Site officiel
Modèle(s) économique(s) Payant à l'acquisition
Support(s) DVD
Date de sortie (aux Etats-Unis) 04 mars 2008
Langue de la version disponible en France Textes en français Voix en anglais",+16 ans,,Jouable en solo Multi en local Multi en coopératif,DVD,Textes en français Voix en anglais
885,1925,Virtua Fighter,SAT,1994.0,Fighting,Sega,0.17,0.12,0.77,0.02,1.07,--,(3),16,"Editeur(s) / Développeur(s) Sega
Sortie France 08 juil. 1995
Genre(s) Combat
Support(s) Cartouche CD
Date de sortie (aux Etats-Unis) mai 1995
Date de sortie (au Japon) 22 novembre 1994",,,,Cartouche CD,
886,1926,Championship Manager 99/00,PC,1999.0,Sports,Eidos Interactive,0.0,0.98,0.0,0.09,1.07,14,(85),16.6,"Editeur(s) / Développeur(s) Eidos Interactive
Sortie France 17 déc. 1999
Genre(s) Stratégie
Classification +3 ans
Nombre maximum de joueurs Oui
Support(s) CD
Langue de la version disponible en France Voix en français Textes en français
Configuration minimale Pentium 133, 16 Mo RAM
Configuration conseillée Pentium 200, 32 Mo RAM",+3 ans,Oui,,CD,Voix en français Textes en français
887,1927,WWE SmackDown vs. Raw 2010,PS2,2009.0,Fighting,THQ,0.53,0.01,0.0,0.54,1.07,16,(119),16.7,"Editeur(s) / Développeur(s) Yuke's Co THQ
Sortie France 23 oct. 2009
Genre(s) Combat Sport
Classification +16 ans
Nombre maximum de joueurs 2 à 6 joueurs
Web Site officiel
Support(s) DVD
Langue de la version disponible en France Textes en français Voix en anglais",+16 ans,2 à 6 joueurs,,DVD,Textes en français Voix en anglais
888,1928,Pro Evolution Soccer 2008,X360,2007.0,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07,17,(66),15.2,"Editeur(s) / Développeur(s) Konami
Sortie France 25 oct. 2007
Genre(s) Simulation Sport
Classification +3 ans
Mode(s) Multi en ligne
Web Site officiel
Support(s) Blu-Ray UMD DVD Cartouche
Date de sortie (aux Etats-Unis) 2008
Date de sortie (au Japon) 22 novembre 2007
Langue de la version disponible en France Voix en français Textes en français",+3 ans,,Multi en ligne,Blu-Ray UMD DVD Cartouche,Voix en français Textes en français
889,1929,Super Princess Peach,DS,2005.0,Platform,Nintendo,0.72,0.06,0.21,0.07,1.07,17,(140),17.1,"Editeur(s) / Développeur(s) Nintendo
Sortie France 26 mai 2006
Genre(s) Plate-Forme
Classification +3 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs non
Web Site officiel
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 27 février 2006",+3 ans,non,Jouable en solo,Cartouche,
890,1930,NHL 99,PS,1997.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.07,--,(1),18,"Editeur(s) / Développeur(s) EA Sports Electronic Arts
Sortie France 1998
Genre(s) Sport
Classification +3 ans
Support(s) Cartouche CD
Date de sortie (aux Etats-Unis) 21 septembre 1998",+3 ans,,,Cartouche CD,
891,1931,SoulCalibur III,PS2,2005.0,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07,19,(283),17.9,"Editeur(s) / Développeur(s) Namco
Sortie France 23 nov. 2005
Genre(s) Combat
Classification +16 ans
Nombre maximum de joueurs 2 joueurs
Support(s) DVD
Date de sortie (aux Etats-Unis) 25 octobre 2005
Langue de la version disponible en France Textes en français Voix en anglais",+16 ans,2 joueurs,,DVD,Textes en français Voix en anglais
892,1932,Skylanders SWAP Force,PS3,2013.0,Platform,Activision,0.43,0.44,0.0,0.2,1.07,16,(58),13.2,"Editeur(s) / Développeur(s) Vicarious Visions Activision
Sortie France 18 oct. 2013
Genre(s) Plate-Forme Action
Classification +7 ans
Nombre maximum de joueurs Jusqu'à deux joueurs
Web Site officiel
Support(s) Blu-Ray",+7 ans,Jusqu'à deux joueurs,,,
893,1933,F1 2012,PS3,2012.0,Racing,Codemasters,0.12,0.64,0.05,0.25,1.07,16,(189),16.7,"Editeur(s) / Développeur(s) Codemasters
Sortie France 21 sept. 2012
Genre(s) Course
Classification +3 ans
Mode(s) Multi en ligne
Nombre maximum de joueurs 16 joueurs en ligne
Web Site officiel
Support(s) Blu-Ray
Date de sortie (aux Etats-Unis) 18 septembre 2012
Langue de la version disponible en France Voix en français Textes en français",+3 ans,16 joueurs en ligne,Multi en ligne,Blu-Ray,Voix en français Textes en français
894,1934,World Tour Soccer,PSP,2005.0,Sports,Sony Computer Entertainment,0.1,0.63,0.0,0.34,1.07,9,(18),14.8,"Editeur(s) / Développeur(s) Sony
Sortie France 29 sept. 2006
Genre(s) Sport
Classification +3 ans
Nombre maximum de joueurs jusqu'à 4 joueurs en Wireless
Support(s) UMD",+3 ans,jusqu'à 4 joueurs en Wireless,,,
895,1935,Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,0.67,0.3,0.0,0.1,1.07,11,(18),12.4,"Editeur(s) / Développeur(s) Disney Interactive
Sortie France 27 oct. 2011
Genre(s) Aventure Action
Classification +7 ans
Nombre maximum de joueurs Jusqu'à 4 joueurs
Support(s) DVD
Langue de la version disponible en France Voix en français Textes en français",+7 ans,Jusqu'à 4 joueurs,,DVD,Voix en français Textes en français
896,1936,Ridge Racer Revolution,PS,1995.0,Racing,Sony Computer Entertainment,0.17,0.12,0.71,0.07,1.07,--,(8),15.9,"Editeur(s) / Développeur(s) Namco
Sortie France 1996
Genre(s) Course
Support(s) CD
Date de sortie (aux Etats-Unis) 1996
Date de sortie (au Japon) 1995",,,,CD,
897,1937,LEGO Pirates of the Caribbean: The Video Game,X360,2011.0,Action,Disney Interactive Studios,0.54,0.42,0.0,0.1,1.07,no_data,no_data,no_data,no_data,,,,,
898,1938,Hot Wheels Turbo Racing,PS,1999.0,Racing,Electronic Arts,0.59,0.4,0.0,0.07,1.07,13,(3),15,"Editeur(s) / Développeur(s) Stormfront Studios Electronic Arts
Sortie France sept. 1999
Genre(s) Autres Course
Classification +3 ans
Support(s) CD Cartouche
Langue de la version disponible en France Voix en français Textes en français",+3 ans,,,CD Cartouche,Voix en français Textes en français
899,1939,NCAA Football 99,PS,1998.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.06,no_data,no_data,no_data,no_data,,,,,
900,1940,Mortal Kombat: Armageddon,PS2,2006.0,Fighting,Midway Games,0.88,0.04,0.0,0.14,1.06,15,(85),17,"Editeur(s) / Développeur(s) Midway
Sortie France 27 oct. 2006
Genre(s) Combat
Classification +18 ans
Nombre maximum de joueurs 2 à 8 joueurs
Support(s) DVD
Date de sortie (aux Etats-Unis) 09 octobre 2006
Langue de la version disponible en France Textes en français Voix en anglais",+18 ans,2 à 8 joueurs,,DVD,Textes en français Voix en anglais
901,1941,Aliens vs Predator,X360,2010.0,Shooter,Sega,0.55,0.4,0.0,0.11,1.06,12,(390),14.8,"Editeur(s) / Développeur(s) Rebellion Sega
Sortie France 19 févr. 2010
Genre(s) FPS
Classification +18 ans
Mode(s) Multi en ligne
Support(s) DVD Blu-Ray
Langue de la version disponible en France Voix en français Textes en français",+18 ans,,Multi en ligne,DVD Blu-Ray,Voix en français Textes en français
902,1942,Freekstyle,PS2,2002.0,Racing,Electronic Arts,0.52,0.41,0.0,0.14,1.06,16,(14),17.7,"Editeur(s) / Développeur(s) EA Sports BIG Electronic Arts
Sortie France sept. 2002
Genre(s) Course Sport
Classification +12 ans
Nombre maximum de joueurs 2 joueurs
Support(s) DVD",+12 ans,2 joueurs,,,
903,1943,Junior Brain Trainer,DS,2008.0,Misc,GSP,0.23,0.74,0.0,0.1,1.06,--,(0),--,"Editeur(s) / Développeur(s) Avanquest Software
Sortie France Date de sortie inconnue
Genre(s) Ludo-Educatif Coaching
Classification +3 ans
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 25 novembre 2009",+3 ans,,,Cartouche,
904,1944,Darksiders,X360,2010.0,Action,THQ,0.67,0.29,0.01,0.1,1.06,18,(593),17.6,"Editeur(s) / Développeur(s) Vigil Games THQ
Sortie France 06 janv. 2010
Genre(s) Aventure Action
Thème(s) Heroic Fantasy Post-apocalyptique
Classification +18 ans
Mode(s) Jouable en solo
Modèle(s) économique(s) Payant à l'acquisition
Support(s) Blu-Ray DVD
Date de sortie (aux Etats-Unis) 05 janvier 2010
Langue de la version disponible en France Voix en français Textes en français",+18 ans,,Jouable en solo,Blu-Ray DVD,Voix en français Textes en français
905,1945,DiRT,PS3,2007.0,Racing,Codemasters,0.16,0.67,0.0,0.23,1.06,--,(0),--,"Editeur(s) / Développeur(s) Codemasters
Sortie France Date de sortie inconnue
Genre(s) Course
Support(s) iDensity",,,,,
906,1946,Call of Duty 4: Modern Warfare,DS,2007.0,Shooter,Activision,0.96,0.02,0.01,0.08,1.06,16,(135),10.3,"Editeur(s) / Développeur(s) Activision Infinity Ward
Sortie France 28 oct. 2022
Genre(s) FPS
Classification +18 ans",,,,,
907,1947,Simple 1500 Series Vol. 1: The Mahjong,PS,1998.0,Misc,D3Publisher,0.0,0.0,0.99,0.07,1.06,no_data,no_data,no_data,no_data,,,,,
908,1948,Sega Superstars Tennis,Wii,2008.0,Sports,Sega,0.28,0.65,0.0,0.13,1.06,12,(22),12.6,"Editeur(s) / Développeur(s) Sumo Digital Sega
Sortie France 28 mars 2008
Genre(s) Sport
Classification +7 ans
Nombre maximum de joueurs Jusqu'à 4 joueurs
Web Site officiel
Support(s) DVD
Date de sortie (aux Etats-Unis) 19 février 2008
Date de sortie (au Japon) 17 janvier 2008
Langue de la version disponible en France Voix en français Textes en français",+7 ans,Jusqu'à 4 joueurs,,DVD,Voix en français Textes en français
909,1949,NBA Street V3,PS2,2005.0,Sports,Electronic Arts,0.52,0.41,0.0,0.14,1.06,17,(41),18,"Editeur(s) / Développeur(s) EA Sports BIG Electronic Arts
Sortie France 17 févr. 2005
Genre(s) Sport
Classification +3 ans
Nombre maximum de joueurs 2 à 6 joueurs
Support(s) DVD
Langue de la version disponible en France Textes en français Voix en anglais",+3 ans,2 à 6 joueurs,,DVD,Textes en français Voix en anglais
910,1950,Sleeping Dogs,PS3,2012.0,Action,Square Enix,0.31,0.5,0.05,0.19,1.06,16,(639),17,"Editeur(s) / Développeur(s) United Front Games Square Enix
Sortie France 17 août 2012
Genre(s) Action
Thème(s) Enquête Contemporain
Classification +18 ans
Mode(s) Jouable en solo
Modèle(s) économique(s) Payant à l'acquisition
Support(s) Blu-Ray
Date de sortie (aux Etats-Unis) 14 août 2012
Date de sortie (au Japon) 27 septembre 2012
Langue de la version disponible en France Textes en français Voix en anglais",+18 ans,,Jouable en solo,Blu-Ray,Textes en français Voix en anglais
911,1951,Mercenaries 2: World in Flames,X360,2008.0,Shooter,Electronic Arts,0.65,0.3,0.01,0.1,1.06,12,(59),14.5,"Editeur(s) / Développeur(s) Pandemic Studios Electronic Arts
Sortie France 04 sept. 2008
Genre(s) Action
Classification +16 ans
Mode(s) Jouable en solo Multi en ligne Multi en coopératif
Web Site officiel
Support(s) Blu-Ray DVD
Date de sortie (aux Etats-Unis) 31 août 2008
Langue de la version disponible en France Voix en français Textes en français",+16 ans,,Jouable en solo Multi en ligne Multi en coopératif,Blu-Ray DVD,Voix en français Textes en français
912,1952,Worms Armageddon,PS,1999.0,Strategy,Microprose,0.18,0.81,0.0,0.08,1.06,16,(102),16.7,"Editeur(s) / Développeur(s) Infogrames Team 17 MicroProse Ubisoft
Sortie France févr. 1999
Genre(s) Action Stratégie Autres
Classification +3 ans
Support(s) Cartouche CD GDROM
Langue de la version disponible en France Voix en français Textes en français",+3 ans,,,Cartouche CD GDROM,Voix en français Textes en français
913,1953,Hulk,PS2,2003.0,Action,Universal Interactive,0.52,0.41,0.0,0.14,1.06,16,(38),12.4,"Editeur(s) / Développeur(s) Vivendi Universal Games Radical Entertainment
Sortie France 13 juin 2003
Genre(s) Action
Classification +12 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs Non
Support(s) DVD
Langue de la version disponible en France Voix en français Textes en français",+12 ans,Non,Jouable en solo,DVD,Voix en français Textes en français
914,1954,LEGO Indiana Jones: The Original Adventures,PS3,2008.0,Action,Activision,0.44,0.44,0.0,0.18,1.06,no_data,no_data,no_data,no_data,,,,,
915,1955,NFL Blitz,N64,1998.0,Sports,Midway Games,1.02,0.04,0.0,0.01,1.06,--,no_data,no_data,"Editeur(s) / Développeur(s) Point of View Midway
Sortie France 1998
Genre(s) Sport
Classification +12 ans
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 09 septembre 1998",+12 ans,,,Cartouche,
916,1956,NFL Quarterback Club 98,N64,1997.0,Sports,Acclaim Entertainment,1.01,0.05,0.0,0.01,1.06,--,(0),--,"Editeur(s) / Développeur(s) Acclaim Iguana Entertainment
Sortie France Date de sortie inconnue
Genre(s) Sport
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 24 octobre 1997",,,,Cartouche,
917,1957,DJ Hero,X360,2009.0,Misc,Activision,0.56,0.4,0.0,0.11,1.06,17,(9),17.6,"Editeur(s) / Développeur(s) Freestyle Games Activision
Sortie France 29 oct. 2009
Genre(s) Rythme
Classification +3 ans
Mode(s) Multi en ligne
Web Site officiel
Support(s) DVD Blu-Ray
Langue de la version disponible en France Voix en français Textes en français",+3 ans,,Multi en ligne,DVD Blu-Ray,Voix en français Textes en français
918,1958,Dora the Explorer: Dora Saves the Mermaids,DS,2007.0,Platform,Take-Two Interactive,0.97,0.01,0.0,0.08,1.06,no_data,no_data,no_data,no_data,,,,,
919,1959,Diablo II: Lord of Destruction,PC,2001.0,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,1.06,14,(34),4.9,"Editeur(s) / Développeur(s) Blizzard Entertainment NetEase Games
Sortie France 02 juin 2022
Genre(s) Hack'n slash MMO
Classification +18 ans",,,,,
920,1960,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016.0,Fighting,Namco Bandai Games,0.39,0.41,0.1,0.16,1.06,--,(4),17.5,"Sortie France 25 août 2017
Genre(s) Combat",,,,,
921,1961,Spider-Man 2,GBA,2004.0,Action,Activision,0.76,0.28,0.0,0.02,1.06,12,(12),15.1,"Editeur(s) / Développeur(s) Digital Eclipse Activision
Sortie France 09 juil. 2004
Genre(s) Action Plate-Forme
Classification +3 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs Non
Support(s) Cartouche
Langue de la version disponible en France Voix en français Textes en français",+3 ans,Non,Jouable en solo,Cartouche,Voix en français Textes en français
922,1962,Virtua Tennis 3,PS3,2007.0,Sports,Sega,0.23,0.59,0.03,0.22,1.06,16,(104),14.7,"Editeur(s) / Développeur(s) Sega
Sortie France 23 mars 2007
Genre(s) Sport
Classification +3 ans
Nombre maximum de joueurs Jusqu'à 4 joueurs Offline
Web Site officiel
Support(s) Blu-Ray",+3 ans,Jusqu'à 4 joueurs Offline,,,
923,1963,Seek and Destroy,PS2,2002.0,Racing,Play It,0.52,0.4,0.0,0.14,1.06,7,(5),13.2,"Editeur(s) / Développeur(s) Play It Takara
Sortie France nov. 2003
Genre(s) Course Action Aventure
Classification +3 ans
Nombre maximum de joueurs 2 joueurs
Support(s) DVD
Date de sortie (au Japon) 27 juin 2002
Langue de la version disponible en France Voix en français Textes en français",+3 ans,2 joueurs,,DVD,Voix en français Textes en français
924,1964,Warhawk,PS3,2007.0,Simulation,Sony Computer Entertainment,0.49,0.39,0.0,0.17,1.06,--,no_data,no_data,"Editeur(s) / Développeur(s) Sony
Sortie France 17 oct. 2012
Genre(s) Shoot'em Up
Classification +12 ans
Support(s) PlayStation Store",+12 ans,,,,
925,1965,Apollo Justice: Ace Attorney,DS,2007.0,Adventure,Capcom,0.32,0.06,0.64,0.04,1.06,16,(28),15.6,"Editeur(s) / Développeur(s) Capcom
Sortie France 08 sept. 2016
Genre(s) Aventure
Classification +7 ans
Mode(s) Jouable en solo
Web Site officiel
Modèle(s) économique(s) Payant à l'acquisition
Support(s) Google Play App Store
Date de sortie (au Japon) 09 juin 2016",+7 ans,,Jouable en solo,Google Play App Store,
926,1966,Assassin's Creed: Rogue,X360,2014.0,Action,Ubisoft,0.58,0.38,0.0,0.09,1.05,--,(1),18,"Editeur(s) / Développeur(s) Ubisoft
Sortie France 02 août 2022
Genre(s) Roguelike Aventure Action",,,,,
927,1967,Cosmic Ark,2600,1981.0,Shooter,Imagic,0.99,0.05,0.0,0.01,1.05,no_data,no_data,no_data,no_data,,,,,
928,1968,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006.0,Shooter,Sony Computer Entertainment,0.81,0.11,0.0,0.13,1.05,12,(118),16.5,"Editeur(s) / Développeur(s) Slant Six Games Sony
Sortie France 17 févr. 2010
Genre(s) Action Tactique
Classification +16 ans
Mode(s) Multi en coopératif Multi en compétitif
Nombre maximum de joueurs enligne, 16 joueurs en compétitif, 4 en coopératif
Support(s) UMD
Date de sortie (aux Etats-Unis) 16 février 2010
Date de sortie (au Japon) 11 février 2010
Langue de la version disponible en France Voix en français Textes en français",+16 ans,"enligne, 16 joueurs en compétitif, 4 en coopératif",Multi en coopératif Multi en compétitif,UMD,Voix en français Textes en français
929,1969,Skylanders: Trap Team,Wii,2014.0,Action,Activision,0.42,0.54,0.0,0.08,1.05,15,(5),15.6,"Editeur(s) / Développeur(s) Toys For Bob Activision
Sortie France 10 oct. 2014
Genre(s) Action Plate-Forme
Thème(s) Monstres Fantastique
Classification +7 ans
Mode(s) Jouable en solo
Modèle(s) économique(s) Payant à l'acquisition
Support(s) DVD
Langue de la version disponible en France Voix en français Textes en français",+7 ans,,Jouable en solo,DVD,Voix en français Textes en français
930,1970,Aliens vs Predator,PS3,2010.0,Shooter,Sega,0.41,0.47,0.0,0.18,1.05,12,(345),14.7,"Editeur(s) / Développeur(s) Rebellion Sega
Sortie France 19 févr. 2010
Genre(s) FPS
Classification +18 ans
Mode(s) Multi en ligne
Nombre maximum de joueurs Oui, en ligne
Support(s) Blu-Ray
Langue de la version disponible en France Voix en français Textes en français",+18 ans,"Oui, en ligne",Multi en ligne,Blu-Ray,Voix en français Textes en français
